地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.7,+1.0,高い,30.0,80,平年並,35.8,98,平年並
旧東,21.4,+1.5,／,33.0,98,／,／,／,／
北大東,21.5,+1.3,／,35.0,122,／,／,／,／
