地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.9,+0.0,平年並,0.0,0,かなり少ない,54.4,136,多い
旧東,21.4,+0.3,／,0.0,0,／,／,／,／
北大東,21.7,+0.3,／,2.0,5,／,／,／,／
