要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),114.5 (2022/12/3),109.5 (1999/12/30),105.9 (1966/12/25),96.0 (2022/12/9),95.6 (1947/12/9),95.0 (2020/12/24),95.0 (1982/12/22),93.0 (2018/12/5),87.5 (1984/12/1),87.5 (1973/12/15),1942/12 2025/12
日最大10分間降水量 (mm),24.5 (2018/12/5),19.4 (1966/12/25),18.1 (1947/12/9),15.5 (1999/12/30),15.5 (1991/12/21),15.5 (1987/12/5),13.5 (2007/12/25),13.5 (1982/12/12),13.0 (2009/12/16),13.0 (1982/12/17),1942/12 2025/12
日最大1時間降水量 (mm),84.0 (2018/12/5),67.9 (1966/12/25),60.0 (1991/12/21),58.0 (1999/12/30),50.5 (1982/12/17),50.0 (2007/12/25),48.0 (2022/12/3),48.0 (1959/12/31),40.0 (1987/12/5),39.5 (1984/12/1),1942/12 2025/12
月最大24時間降水量 (mm),136.5 (1982/12/21),114.5 (2022/12/3),113.4 (1959/12/31),111.1 (1948/12/31),111.0 (1999/12/30),109.0 (2007/12/24),103.1 (1966/12/25),97.0 (2020/12/24),96.0 (1984/12/1),95.8 (1947/12/9),1946/12 2025/12
月降水量の多い方から (mm),547.0 (1982/12),376.5 (2022/12),291.7 (1966/12),288.0 (2020/12),236.8 (1943/12),233.0 (1999/12),227.0 (1970/12),213.7 (1947/12),209.0 (2019/12),203.0 (1998/12),1942/12 2025/12
月降水量の少ない方から (mm),7.0 (2008/12),12.0 (1969/12),15.5 (2003/12),16.0 (1995/12),20.0 (1988/12),31.5 (1996/12),36.5 (1951/12),40.5 (1986/12),42.5 (1968/12),43.0 (2024/12),1942/12 2025/12
日最高気温の高い方から (℃),28.3 (2018/12/4),28.1 (2016/12/5),28.0 (2022/12/5),27.7 (2018/12/6),27.7 (1993/12/1),27.6 (2022/12/4),27.6 (1993/12/3),27.6 (1954/12/8),27.5 (2018/12/3),27.5 (2016/12/4),1942/12 2025/12
日最高気温の低い方から (℃),15.2 (2005/12/22),15.2 (1956/12/25),15.4 (2002/12/27),15.4 (1967/12/29),15.8 (1960/12/30),16.2 (1966/12/28),16.4 (1999/12/20),16.4 (1960/12/31),16.5 (1973/12/25),16.5 (1954/12/16),1942/12 2025/12
日最低気温の高い方から (℃),24.3 (2018/12/4),23.2 (2004/12/4),23.1 (2004/12/3),23.0 (2020/12/3),22.9 (2023/12/11),22.9 (2018/12/3),22.9 (2015/12/2),22.8 (2023/12/12),22.8 (2020/12/8),22.8 (2018/12/2),1942/12 2025/12
日最低気温の低い方から (℃),6.4 (2009/12/23),6.8 (2001/12/27),7.2 (1988/12/21),7.3 (1968/12/24),7.5 (2010/12/11),7.5 (1968/12/18),7.6 (2010/12/30),7.6 (1996/12/30),7.6 (1988/12/4),7.8 (2003/12/23),1942/12 2025/12
月平均気温の高い方から (℃),21.4 (2018/12),21.3 (2004/12),21.1 (2019/12),21.1 (2016/12),21.1 (1994/12),21.0 (2000/12),20.9 (1998/12),20.9 (1953/12),20.8 (2015/12),20.7 (1948/12),1942/12 2025/12
月平均気温の低い方から (℃),16.6 (1973/12),17.4 (1967/12),17.6 (1980/12),17.7 (1983/12),17.9 (1950/12),18.0 (2005/12),18.0 (1942/12),18.1 (1995/12),18.2 (1947/12),18.3 (1996/12),1942/12 2025/12
日最小相対湿度 (%),34 (2001/12/26),35 (2004/12/6),35 (1995/12/6),36 (2005/12/16),36 (2003/12/16),37 (2025/12/5),37 (2006/12/29),37 (1995/12/27),38 (2011/12/25),38 (2005/12/24),1957/12 2025/12
日最大風速・風向 (m/s),22.3 北 (1960/12/4),18.5 北 (1960/12/5),17.6 北北西 (1952/12/9),16.8 北 (1964/12/17),16.4 南東 (2022/12/17),16.3 南南東 (1949/12/14),16.0 南南東 (2020/12/24),15.8 南 (2013/12/10),15.7 南南西 (1972/12/28),15.7 北 (1959/12/17),1942/12 2025/12
日最大瞬間風速・風向 (m/s),29.2 北 (1960/12/4),29.0 北北東 (1999/12/17),27.5 北 (1964/12/17),26.6 北 (1964/12/18),26.4 西南西 (2009/12/16),26.3 南南東 (2022/12/17),25.6 北東 (2022/12/10),25.4 北北西 (2005/12/22),25.3 北 (2007/12/25),25.2 北 (1960/12/5),1942/12 2025/12
月間日照時間の多い方から (時間),195.0 (1996/12),166.6 (1968/12),166.3 (1994/12),154.5 (1951/12),151.2 (1962/12),151.0 (1997/12),147.1 (2007/12),146.5 (1991/12),144.9 (2010/12),142.8 (2015/12),1943/12 2025/12
月間日照時間の少ない方から (時間),45.8 (1971/12),53.8 (1956/12),56.5 (1947/12),66.0 (1972/12),66.1 (1985/12),67.4 (1954/12),70.7 (2022/12),71.4 (2020/12),72.2 (1974/12),73.1 (1970/12),1943/12 2025/12
降雪の深さ日合計 (cm),-- (2019/12/31),-- (2019/12/30),-- (2019/12/29),-- (2019/12/28),-- (2019/12/27),-- (2019/12/26),-- (2019/12/25),-- (2019/12/24),-- (2019/12/23),-- (2019/12/22),1953/12 2019/12
降雪の深さ月合計 (cm),-- (2019/12),-- (2018/12),-- (2017/12),-- (2016/12),-- (2015/12),-- (2014/12),-- (2013/12),-- (2012/12),-- (2011/12),-- (2010/12),1953/12 2019/12
月最深積雪の大きい方から (cm),-- (2019/12),-- (2018/12),-- (2017/12),-- (2016/12),-- (2015/12),-- (2014/12),-- (2013/12),-- (2012/12),-- (2011/12),-- (2010/12),1942/12 2019/12
月最深積雪の小さい方から (cm),-- (2019/12),-- (2018/12),-- (2017/12),-- (2016/12),-- (2015/12),-- (2014/12),-- (2013/12),-- (2012/12),-- (2011/12),-- (2010/12),1942/12 2019/12
