地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.1,+1.4,高い,20.5,42,平年並,35.5,80,少ない
旧東,20.3,+1.1,／,23.0,57,／,／,／,／
北大東,20.6,+1.2,／,38.0,112,／,／,／,／
