地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.6,+0.9,高い,50.5,40,少ない,125.7,104,平年並
旧東,21.0,+0.9,／,56.0,47,／,／,／,／
北大東,21.2,+0.9,／,75.0,71,／,／,／,／
