要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,5.0,21.5,24.2,18.6,4.2,10.4,6.6 @,---,---
2日,4.9,21.4,24.1,18.5,4.2,10.3,6.6 @,---,---
3日,4.7,21.2,23.9,18.4,4.1,10.2,6.6 @,---,---
4日,4.6,21.1,23.8,18.2,4.1,10.1,6.6 @,---,---
5日,4.4,20.9,23.7,18.0,4.0,10.1,6.6 @,---,---
6日,4.2,20.8,23.6,17.9,4.0,10.0,6.6 @,---,---
7日,4.0,20.7,23.4,17.7,3.9,9.9,6.7 @,---,---
8日,3.9,20.5,23.3,17.6,3.9,9.9,6.7 @,---,---
9日,3.8,20.4,23.2,17.5,3.8,9.8,6.8 @,---,---
10日,3.7,20.3,23.1,17.3,3.8,9.7,6.8 @,---,---
11日,3.7,20.2,23.0,17.2,3.8,9.6,6.9 @,---,---
12日,3.7,20.1,22.9,17.1,3.7,9.6,6.9 @,---,---
13日,3.8,20.0,22.8,17.0,3.7,9.5,7.0 @,---,---
14日,3.8,19.9,22.7,16.9,3.7,9.5,7.0 @,---,---
15日,3.9,19.8,22.6,16.8,3.7,9.5,7.0 @,---,---
16日,4.0,19.7,22.5,16.7,3.7,9.5,7.0 @,---,---
17日,4.1,19.6,22.4,16.5,3.8,9.5,7.0 @,---,---
18日,4.2,19.5,22.3,16.4,3.8,9.5,7.0 @,---,---
19日,4.3,19.4,22.3,16.3,3.9,9.6,7.0 @,---,---
20日,4.3,19.3,22.2,16.1,3.9,9.6,6.9 @,---,---
21日,4.3,19.2,22.1,15.9,3.9,9.7,6.9 @,---,---
22日,4.3,19.1,22.0,15.8,4.0,9.7,6.8 @,---,---
23日,4.2,19.0,22.0,15.6,4.0,9.8,6.8 @,---,---
24日,4.1,18.9,21.9,15.5,4.0,9.8,6.8 @,---,---
25日,4.0,18.8,21.8,15.3,4.0,9.9,6.8 @,---,---
26日,3.9,18.7,21.8,15.2,4.0,9.9,6.8 @,---,---
27日,3.7,18.6,21.7,15.1,4.0,9.9,6.8 @,---,---
28日,3.6,18.5,21.6,15.0,4.0,9.9,6.8 @,---,---
29日,3.4,18.5,21.6,14.9,4.0,9.9,6.8 @,---,---
30日,3.2,18.4,21.6,14.9,4.0,9.9,6.9 @,---,---
31日,3.1,18.4,21.5,14.8,4.0,10.0,6.9 @,---,---
