日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,19.6,21.6,18.0,///,///,4.4,7.2,北北東,9.8,北,北,///,///,///
2,1.0,0.5,0.5,20.0,21.6,18.9,///,///,3.7,9.0,北北東,12.9,北,東北東,///,///,///
3,1.5,0.5,0.5,18.9,21.2,17.1,///,///,7.3,10.0,北,14.4,北,北,///,///,///
4,0.0,0.5,0.0,18.2,19.0,17.2,///,///,7.6,9.5,北北東,13.9,北,北北東,///,///,///
5,2.0,1.5,0.5,20.1,22.4,18.6,///,///,4.0,6.3,南東,12.9,東,東北東,///,///,///
6,31.0,19.5,13.0,20.2,22.3,17.1,///,///,7.1,10.2,南東,14.9,北西,北北西,///,///,///
7,0.0,0.0,0.0,17.5,19.7,16.4,///,///,5.3,7.4,北北西,12.3,北,北北西,///,///,///
8,0.0,0.0,0.0,17.3,20.4,14.9,///,///,3.2,6.3,北,9.8,北北東,北北西,///,///,///
9,0.0,0.0 ),0.0 ),17.3,20.6,14.5,///,///,3.0,5.3,北北西,8.7,北西,北西,///,///,///
10,0.5,0.5,0.5,15.6,18.1,13.7,///,///,6.6,8.9,北,12.9,北北西,北北西,///,///,///
11,0.0,0.0,0.0,15.3,18.9,12.8,///,///,4.3,8.4,北,12.3,北,北,///,///,///
12,2.0,1.0,0.5,15.6,19.5,11.2,///,///,3.9,7.2,北北西,11.8,北西,北西,///,///,///
13,0.0,0.0,0.0,16.5,19.5,14.9,///,///,5.0,6.8,北西,10.3,北北西,北北東,///,///,///
14,0.0,0.0,0.0,18.0,21.1,16.1,///,///,3.1,4.5,北東,7.7,東北東,北東,///,///,///
15,6.5,2.5,2.0,17.7,20.8,14.7,///,///,2.1,4.5,北北東,7.7,北,北東,///,///,///
16,9.5,3.5,1.5,16.1,17.4,15.1,///,///,6.4,9.4,北,12.9,北,北,///,///,///
17,1.0,1.0,1.0,16.4,18.6,14.8,///,///,4.8,8.0,北,10.8,北北西,北北東,///,///,///
18,0.0,0.0,0.0,18.0,20.8,15.5,///,///,4.1,6.5,北東,9.8,北東,北東,///,///,///
19,0.5,0.5,0.5,19.5,22.0,17.2,///,///,3.2,7.1,南東,10.8,南南東,南東,///,///,///
20,4.0,1.5,0.5,19.4,21.4,18.3,///,///,6.8,9.3,北,13.4,北北東,北北東,///,///,///
21,0.0,0.0,0.0,18.7,21.4,16.8,///,///,6.7,9.4,北,11.8,北北東,北,///,///,///
22,0.0,0.0,0.0,18.6,21.1,16.0,///,///,3.8,6.0,北東,9.8,北東,東北東,///,///,///
23,0.0,0.0,0.0,20.4,22.7,18.5,///,///,3.4,5.7,東,11.3,東,東南東,///,///,///
24,1.0,1.0,0.5,21.0,22.8,19.3,///,///,4.2,6.8,南東,10.8,東,南東,///,///,///
25,27.0,5.5,2.0,19.3,20.5,17.7,///,///,4.3,9.7,北北東,14.4,北北東,北東,///,///,///
26,0.0,0.0,0.0,18.8,21.3,17.2,///,///,7.9,10.6,北東,14.4,北東,北東,///,///,///
27,3.5,3.0,2.0,17.7,22.2,15.6,///,///,5.8,10.9,北北西,15.9,北北西,北北西,///,///,///
28,0.0,0.0,0.0,15.7,18.0,14.4,///,///,5.9,8.2,北北西,12.9,北西,北北西,///,///,///
29,0.0,0.0,0.0,15.8,18.5,14.5,///,///,5.2,7.2,北北西,10.8,北,北北西,///,///,///
30,0.0,0.0,0.0,16.6,19.7,13.9,///,///,4.2,6.1,北北東,8.7,北,北北東,///,///,///
31,0.0,0.0,0.0,17.9,19.3,16.1,///,///,3.4,5.6,北東,9.3,東北東,東北東,///,///,///
