月,月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高日気温(℃),月間最低日気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),日照時間(h),月合計降雪深(cm),月最大日降雪深(cm),月最深積雪(cm)
1,95.0,31.5,11.0,6.5,18.3,20.5,16.3,23.2,11.3,///,///,6.9,16.3,南東,19.5,南東,///,///,///,///
2,40.5,25.0,7.0,2.5,17.2,19.6,15.2,23.9,10.2,///,///,6.3,13.2,北西,19.0,北西,///,///,///,///
3,70.0,52.5,25.5,6.5,19.7,22.7,17.3,26.1,9.7,///,///,5.4,13.1,北北東,16.5,北北東,///,///,///,///
4,204.5,89.5,30.0,14.0,20.9,23.5,18.5,28.4,14.7,///,///,5.2,17.9,北,23.1,北北東,///,///,///,///
5,331.5,64.0,24.5,16.0,24.4,26.9,22.1,30.8,15.1,///,///,5.2,15.4,南南東,22.1,南南東,///,///,///,///
6,52.5,21.0,9.5,4.5,27.6,30.5,25.2,33.4,18.3,///,///,3.6,10.6,南,14.4,南,///,///,///,///
7,918.5,205.0,88.0,21.0,28.4,30.8,26.3,33.0,24.6,///,///,7.0,20.9,南東,26.7,東南東,///,///,///,///
8,84.5,28.5,22.0,9.0,29.2,31.8,27.0,32.6,25.0,///,///,5.2,13.6,東北東,16.5,東北東,///,///,///,///
9,34.0,14.5,13.0,5.5,29.4,32.4,27.1,33.4,24.1,///,///,4.8,11.3,東,13.9,東,///,///,///,///
10,204.5,73.5,56.0,16.0,28.2,31.0,26.1,33.4,22.8,///,///,6.0,19.3,南南西,26.7,南南東,///,///,///,///
11,86.5 ),19.5 ),7.5 ),4.5 ),24.2 ),26.6 ),22.3 ),29.7 ),17.5 ),///,///,7.4 ),16.5 ),東,20.1 ),北北東,///,///,///,///
12,75.0,21.5,12.5,7.0,21.2,23.6,19.2,26.6,14.3,///,///,6.7,13.4,東北東,18.5,北,///,///,///,///
