日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,20.1,22.3,18.5,///,///,6.5,9.9,東,11.8,東,東,///,///,///
2,1.5,1.0,0.5,20.3,21.7,18.6,///,///,6.7,11.1,北北東,14.4,北北東,東,///,///,///
3,1.5,0.5,0.5,19.1,21.0,17.5,///,///,8.5,10.9,北,14.4,北,北,///,///,///
4,0.0,0.0,0.0,18.4,19.2,17.5,///,///,8.9,11.0,北,15.9,北北西,北北東,///,///,///
5,3.0,1.5,1.0,20.5,22.8,18.8,///,///,9.8,15.8,東南東,18.5,東南東,東,///,///,///
6,22.0,10.5,5.5,20.5,22.3,17.4,///,///,9.9,16.3,南東,19.5,南東,北西,///,///,///
7,0.0,0.0,0.0,17.7,19.4,16.9,///,///,6.4,9.1,北西,13.4,北北西,北北西,///,///,///
8,0.0,0.0,0.0,17.5,20.5,15.3,///,///,4.0,6.6,北北西,9.8,北西,北北西,///,///,///
9,0.0,0.0,0.0,17.5,20.4,14.6,///,///,4.0,6.5,北西,9.3,西北西,北西,///,///,///
10,0.0,0.0,0.0,15.9,18.9,14.3,///,///,7.9,10.3,北,14.9,北,北西,///,///,///
11,0.0,0.0,0.0,15.5,18.6,13.5,///,///,4.9,9.6,北,12.3,北,北,///,///,///
12,4.5,4.0,2.0,15.8,19.2,11.3,///,///,5.1,9.3,北西,13.9,北西,北西,///,///,///
13,0.0,0.0,0.0,16.7,19.4,15.3,///,///,6.2,8.4,北西,12.9,北西,北北西,///,///,///
14,0.0,0.0,0.0,18.3,20.9,16.2,///,///,4.1,6.3,東,8.7,東北東,東北東,///,///,///
15,4.0,1.0,0.5,18.0,21.0,14.6,///,///,2.9,4.6,東,6.7,東,東北東,///,///,///
16,6.0,2.0,1.0,16.2,17.4,15.0,///,///,7.6,10.7,北,13.9,北,北,///,///,///
17,0.5,0.5,0.5,16.7,18.4,14.8,///,///,6.1,9.1,北北西,11.8,北北東,北,///,///,///
18,0.0,0.0,0.0,18.3,21.4,15.8,///,///,5.7,8.2,北東,10.8,北東,北東,///,///,///
19,0.0,0.0,0.0,20.0,22.3,17.9,///,///,7.1,11.4,南東,13.9,南東,東南東,///,///,///
20,5.5,4.0,2.0,19.7,21.2,18.7,///,///,8.9,11.3,南,14.4,南,北北東,///,///,///
21,0.0,0.0,0.0,18.9,21.1,17.1,///,///,7.7,10.1,北,13.9,北,北,///,///,///
22,0.0,0.0,0.0,19.0,21.3,16.5,///,///,6.2,9.2,東,11.3,東,東北東,///,///,///
23,0.0,0.0,0.0,20.6,22.7,19.0,///,///,9.5,13.8,東,16.5,東,東南東,///,///,///
24,11.0,11.0,6.5,21.2,23.2,19.1,///,///,9.3,13.2,東南東,15.9,東,東南東,///,///,///
25,31.5,9.5,3.0,19.6,21.0,17.7,///,///,7.1,12.7,北北東,16.5,北北東,北東,///,///,///
26,2.0,2.0,1.5,19.0,21.4,17.5,///,///,10.3,13.2,北東,16.5,北東,北東,///,///,///
27,2.0,1.0,0.5,18.0,22.5,16.0,///,///,8.4,12.8,北北西,17.0,北,北北西,///,///,///
28,0.0,0.0,0.0,15.9,17.6,14.9,///,///,7.3,9.3,北西,13.9,北西,北西,///,///,///
29,0.0,0.0,0.0,15.9,18.2,14.6,///,///,6.3,8.4,北北西,11.8,北北西,北北西,///,///,///
30,0.0,0.0,0.0,16.8,19.5,14.7,///,///,5.0,7.0,北北東,9.3,北北東,北,///,///,///
31,0.0,0.0,0.0,18.3,19.7,16.6,///,///,6.9,11.1,東南東,13.9,東南東,東,///,///,///
