地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.7,-1.5,低い,29.5,105,平年並,30.8,79,平年並
旧東,17.3,-1.1,／,23.5,88,／,／,／,／
北大東,17.5,-1.1,／,20.5,78,／,／,／,／
