地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,17.8,-0.2,平年並,103.0,134,多い,103.0,85,少ない
旧東,18.0,-0.3,／,91.0,123,／,／,／,／
北大東,18.3,-0.2,／,95.0,142,／,／,／,／
