要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,3.0,18.4,21.5,14.8,4.0,10.0,6.9 @,---,---
2日,2.9,18.4,21.5,14.8,4.0,10.0,7.0 @,---,---
3日,2.8,18.3,21.5,14.8,4.0,10.0,7.0 @,---,---
4日,2.7,18.3,21.5,14.8,4.0,10.0,7.0 @,---,---
5日,2.7,18.3,21.4,14.8,4.0,10.0,7.1 @,---,---
6日,2.7,18.3,21.4,14.8,4.0,10.1,7.1 @,---,---
7日,2.7,18.3,21.4,14.8,4.0,10.1,7.1 @,---,---
8日,2.8,18.3,21.4,14.8,3.9,10.1,7.1 @,---,---
9日,2.8,18.3,21.4,14.8,3.9,10.1,7.1 @,---,---
10日,2.9,18.2,21.3,14.8,3.9,10.1,7.2 @,---,---
11日,2.9,18.2,21.3,14.8,3.9,10.2,7.2 @,---,---
12日,2.9,18.2,21.3,14.8,3.9,10.2,7.2 @,---,---
13日,2.9,18.2,21.3,14.8,3.8,10.2,7.2 @,---,---
14日,2.9,18.2,21.3,14.8,3.8,10.3,7.2 @,---,---
15日,2.9,18.2,21.2,14.8,3.8,10.3,7.2 @,---,---
16日,2.9,18.1,21.2,14.8,3.8,10.4,7.2 @,---,---
17日,2.8,18.1,21.2,14.8,3.8,10.4,7.2 @,---,---
18日,2.8,18.1,21.2,14.8,3.8,10.4,7.2 @,---,---
19日,2.7,18.1,21.1,14.8,3.8,10.5,7.2 @,---,---
20日,2.6,18.0,21.1,14.8,3.8,10.5,7.2 @,---,---
21日,2.6,18.0,21.0,14.7,3.8,10.6,7.3 @,---,---
22日,2.6,17.9,21.0,14.7,3.8,10.6,7.3 @,---,---
23日,2.5,17.9,20.9,14.6,3.8,10.6,7.3 @,---,---
24日,2.5,17.8,20.9,14.5,3.8,10.7,7.3 @,---,---
25日,2.4,17.8,20.8,14.5,3.8,10.7,7.3 @,---,---
26日,2.4,17.7,20.7,14.4,3.8,10.8,7.2 @,---,---
27日,2.4,17.7,20.7,14.3,3.9,10.8,7.2 @,---,---
28日,2.4,17.6,20.7,14.2,3.9,10.9,7.2 @,---,---
29日,2.4,17.6,20.6,14.2,3.9,11.0,7.2 @,---,---
30日,2.4,17.5,20.6,14.1,3.9,11.0,7.2 @,---,---
31日,2.4,17.5,20.6,14.1,4.0,11.1,7.1 @,---,---
