地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.1,+0.4,高い,38.0,139,平年並,48.6,116,平年並
旧東,18.2,+0.1,／,31.5,118,／,／,／,／
北大東,18.5,+0.3,／,46.5,201,／,／,／,／
