地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.5,+0.2,平年並,35.5,164,多い,23.6,58,かなり少ない
旧東,18.5,-0.1,／,36.0,173,／,／,／,／
北大東,18.8,+0.0,／,28.0,159,／,／,／,／
