要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,2.5,17.5,20.6,14.0,4.0,11.2,7.1 @,---,---
2日,2.6,17.5,20.6,14.0,4.0,11.2,7.1 @,---,---
3日,2.7,17.5,20.7,14.0,4.0,11.3,7.1 @,---,---
4日,2.9,17.6,20.7,14.1,4.0,11.4,7.1 @,---,---
5日,3.0,17.6,20.7,14.1,4.1,11.5,7.1 @,---,---
6日,3.1,17.6,20.8,14.1,4.1,11.6,7.1 @,---,---
7日,3.1,17.7,20.8,14.2,4.1,11.7,7.1 @,---,---
8日,3.2,17.7,20.9,14.3,4.1,11.8,7.1 @,---,---
9日,3.2,17.8,20.9,14.3,4.1,11.9,7.1 @,---,---
10日,3.2,17.9,21.0,14.4,4.2,12.0,7.1 @,---,---
11日,3.2,17.9,21.0,14.5,4.2,12.1,7.1 @,---,---
12日,3.1,18.0,21.1,14.6,4.2,12.2,7.1 @,---,---
13日,3.1,18.1,21.1,14.7,4.2,12.3,7.1 @,---,---
14日,3.0,18.1,21.2,14.8,4.2,12.4,7.1 @,---,---
15日,3.0,18.2,21.2,14.9,4.2,12.4,7.1 @,---,---
16日,2.9,18.2,21.3,15.0,4.2,12.5,7.1 @,---,---
17日,2.9,18.3,21.3,15.1,4.2,12.6,7.1 @,---,---
18日,2.8,18.3,21.3,15.1,4.2,12.7,7.1 @,---,---
19日,2.8,18.4,21.4,15.2,4.2,12.7,7.1 @,---,---
20日,2.8,18.4,21.4,15.3,4.2,12.8,7.0 @,---,---
21日,2.8,18.5,21.5,15.4,4.3,12.9,7.0 @,---,---
22日,2.7,18.5,21.5,15.4,4.3,13.1,7.0 @,---,---
23日,2.7,18.6,21.6,15.5,4.4,13.3,6.9 @,---,---
24日,2.6,18.6,21.7,15.6,4.4,13.4,6.8 @,---,---
25日,2.6,18.7,21.7,15.6,4.5,13.6,6.8 @,---,---
26日,2.6,18.7,21.8,15.6,4.5,13.7,6.8 @,---,---
27日,2.5,18.7,21.9,15.6,4.5,13.9,6.7 @,---,---
28日,2.5,18.8,21.9,15.6,4.6,14.0,6.7 @,---,---
29日,2.5,18.8,21.9,15.6,4.6,14.1,6.7 @,---,---
