地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.0,-0.2,平年並,5.5,19,少ない,25.4,61,少ない
旧東,18.1,-0.5,／,7.0,47,／,／,／,／
北大東,18.3,-0.4,／,9.0,56,／,／,／,／
