地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.4,-1.2,低い,50.5,162,多い,21.1,53,かなり少ない
旧東,16.2,-1.8,／,49.5,136,／,／,／,／
北大東,16.5,-1.6,／,28.0,97,／,／,／,／
