地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.0,-2.7,かなり低い,13.0,67,平年並,33.6,87,平年並
旧東,16.5,-3.0,／,11.0,49,／,／,／,／
北大東,16.7,-3.0,／,3.5,17,／,／,／,／
