日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,7.5,4.0,1.5,19.3,21.0,17.8,///,///,4.4,7.6,南南西,10.8,南南西,南東,///,///,///
2,40.0,9.5,3.5,19.8,22.5,18.0,///,///,5.0,9.1,北,13.4,北北西,北北西,///,///,///
3,0.5,0.5,0.5,18.0,21.4,15.3,///,///,5.7,8.2,北北西,11.8,北北西,北北西,///,///,///
4,1.5,1.0,1.0,14.5,16.1,13.3,///,///,7.9,10.5,西北西,15.9,北西,北西,///,///,///
5,0.0,0.0,0.0,14.7,16.6,13.2,///,///,6.4,9.6,北西,14.4,北西,北西,///,///,///
6,0.0,0.0,0.0,16.0,18.3,14.4,///,///,4.2,6.3,北北西,9.8,北北西,北西,///,///,///
7,0.0,0.0,0.0,15.0,16.3,13.3,///,///,4.5,8.2,北北西,12.3,北北西,北北西,///,///,///
8,0.0,0.0,0.0,14.2,17.0,13.0,///,///,7.4,9.7,北,13.9,北北西,北北西,///,///,///
9,0.0,0.0,0.0,14.5,17.4,11.8,///,///,5.5,8.8,北,12.3,北,北,///,///,///
10,0.0,0.0,0.0,16.4,19.6,12.9,///,///,3.8,6.2,北,8.2,北,北北東,///,///,///
11,0.0,0.0,0.0,18.1,21.1,15.3,///,///,2.9,5.4,北東,8.2,東北東,北東,///,///,///
12,0.0,0.0,0.0,19.5,21.1,18.1,///,///,3.6,5.8,南東,8.7,南南東,南東,///,///,///
13,3.0,1.5,0.5,18.3,20.7,15.8,///,///,5.1,8.2,北,11.3,北,北,///,///,///
14,0.0,0.0,0.0,17.1,19.3,16.0,///,///,4.3,6.8,北,9.3,北,北,///,///,///
15,0.0,0.0,0.0,19.0,21.8,16.2,///,///,2.3,4.8,南東,7.7,南東,南東,///,///,///
16,4.0,2.0,1.5,20.8,23.6,19.7,///,///,5.1,10.2,南南西,13.4,南南西,南南東,///,///,///
17,0.0,0.0,0.0,19.0,21.8,16.2,///,///,5.7,8.9,北,12.3,北,北,///,///,///
18,0.0,0.0,0.0,16.8,20.2,15.3,///,///,5.9,8.3,北,12.3,北北西,北北西,///,///,///
19,0.0,0.0,0.0,16.0,19.1,14.6,///,///,7.3,9.9,北,14.4,北,北,///,///,///
20,0.0,0.0,0.0,16.5,19.7,15.0,///,///,4.4,7.1,北,9.8,北北東,北北東,///,///,///
21,9.5,5.0,2.0,16.4,18.2,15.0,///,///,3.5,7.7,北北東,10.8,北北東,北東,///,///,///
22,0.5,0.5,0.5,16.0,18.6,14.8,///,///,6.8,9.0,北,12.3,北,北北東,///,///,///
23,0.0,0.0,0.0,16.2,19.5,14.2,///,///,4.6,6.6,北北東,8.7,北東,北北東,///,///,///
24,1.0,0.5,0.5,14.3,16.4,13.3,///,///,7.5,9.7,北,14.4,北北西,北,///,///,///
25,0.0,0.0,0.0,14.7,17.4,12.9,///,///,4.6,8.5,北北東,11.3,北北東,北東,///,///,///
26,0.0,0.0,0.0,16.1,19.8,11.3,///,///,1.5,4.8,北北東,7.2,北北東,北東,///,///,///
27,0.0,0.0,0.0,18.0,21.4,13.5,///,///,1.3,3.2,南東,5.1,南東,南東,///,///,///
28,0.0,0.0,0.0,20.4,23.6,17.9,///,///,3.3,5.1,南東,8.2,南東,南南東,///,///,///
