地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.9,-1.2,かなり低い,69.0,86,平年並,80.1,67,かなり少ない
旧東,17.0,-1.7,／,67.5,92,／,／,／,／
北大東,17.2,-1.6,／,40.5,62,／,／,／,／
