要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),212.5 (2008/2/6),125.1 (1946/2/5),90.5 (1991/2/14),85.0 (2014/2/7),82.5 (1988/2/2),75.0 (2004/2/9),67.7 (1966/2/4),62.5 (1983/2/15),58.8 (1950/2/2),57.5 (1992/2/19),1942/2 2026/2
日最大10分間降水量 (mm),22.5 (1991/2/14),18.0 (2008/2/6),18.0 (1992/2/15),16.3 (1966/2/27),15.5 (2017/2/26),14.0 (1997/2/3),14.0 (1988/2/2),14.0 (1968/2/5),13.5 (1975/2/14),13.5 (1972/2/26),1942/2 2026/2
日最大1時間降水量 (mm),64.0 (2008/2/6),51.5 (1988/2/2),37.6 (1966/2/4),37.5 (1991/2/14),35.3 (1960/2/24),32.5 (2017/2/26),30.5 (1985/2/28),28.0 (1992/2/15),27.9 (1946/2/5),26.0 (1968/2/15),1942/2 2026/2
月最大24時間降水量 (mm),212.5 (2008/2/6),125.2 (1946/2/5),92.5 (2021/2/11),90.5 (1991/2/14),85.0 (2014/2/7),82.5 (1988/2/2),75.0 (2004/2/9),68.5 (1973/2/19),67.5 (1979/2/1),67.4 (1966/2/4),1946/2 2026/2
月降水量の多い方から (mm),305.0 (2008/2),259.0 (1983/2),234.5 (1998/2),217.5 (1985/2),201.3 (1946/2),189.5 (1966/2),185.0 (1956/2),178.0 (2014/2),176.0 (1992/2),174.5 (2021/2),1942/2 2026/2
月降水量の少ない方から (mm),7.0 (2015/2),13.0 (2003/2),14.2 (1962/2),15.1 (1963/2),16.0 (1989/2),17.0 (2002/2),20.0 (1999/2),23.5 (2023/2),23.5 (2011/2),23.5 (2009/2),1942/2 2026/2
日最高気温の高い方から (℃),27.6 (2024/2/22),27.0 (2020/2/15),27.0 (2020/2/14),26.9 (2020/2/16),26.6 (2024/2/23),26.6 (1998/2/14),26.6 (1954/2/28),26.4 (2024/2/20),26.4 (2010/2/11),26.4 (1999/2/26),1942/2 2026/2
日最高気温の低い方から (℃),13.9 (1947/2/4),14.0 (1955/2/21),14.4 (1947/2/21),14.5 (1987/2/4),14.5 (1945/2/9),14.6 (2018/2/5),14.6 (1968/2/2),14.7 (1981/2/26),14.7 (1977/2/16),14.8 (1984/2/7),1942/2 2026/2
日最低気温の高い方から (℃),22.2 (2020/2/14),22.1 (2010/2/11),21.8 (1973/2/28),21.7 (1975/2/4),21.6 (2020/2/15),21.6 (1942/2/23),21.5 (1959/2/20),21.5 (1952/2/15),21.4 (2010/2/10),21.4 (2005/2/17),1942/2 2026/2
日最低気温の低い方から (℃),4.3 (1962/2/22),4.5 (1985/2/1),5.0 (1981/2/12),5.0 (1962/2/19),5.3 (2011/2/2),5.5 (1997/2/21),5.5 (1955/2/24),5.7 (1986/2/27),5.8 (2015/2/15),5.8 (1991/2/27),1942/2 2026/2
月平均気温の高い方から (℃),20.4 (2024/2),20.4 (2019/2),20.3 (1959/2),19.6 (2020/2),19.5 (2009/2),19.5 (1998/2),19.4 (2013/2),19.3 (2023/2),19.2 (2010/2),19.1 (2001/2),1942/2 2026/2
月平均気温の低い方から (℃),15.1 (1963/2),15.3 (1968/2),15.5 (1947/2),16.1 (1986/2),16.3 (1956/2),16.5 (1977/2),16.5 (1962/2),16.6 (1980/2),16.7 (1961/2),16.7 (1943/2),1942/2 2026/2
日最小相対湿度 (%),32 (1986/2/11),34 (2014/2/21),35 (2013/2/24),35 (2008/2/16),35 (2001/2/16),35 (1997/2/19),36 (2024/2/12),36 (2009/2/7),36 (1991/2/26),36 (1975/2/19),1958/2 2026/2
日最大風速・風向 (m/s),18.4 北北東 (1952/2/3),17.7 北北西 (1960/2/2),17.1 東北東 (2021/2/12),17.0 南南西 (1958/2/18),16.7 南南西 (1961/2/21),16.7 北東 (1960/2/1),15.4 南南東 (2012/2/23),15.3 南 (1992/2/15),15.0 南 (1968/2/15),14.9 北 (1952/2/4),1942/2 2026/2
日最大瞬間風速・風向 (m/s),27.9 東北東 (2021/2/12),27.7 西南西 (1998/2/15),27.4 西南西 (2022/2/14),25.2 南 (1992/2/15),25.1 北西 (1998/2/17),24.6 南南西 (1998/2/20),24.2 北西 (1987/2/3),23.9 北西 (1969/2/4),23.7 北北東 (2004/2/9),23.7 北西 (1999/2/3),1942/2 2026/2
月間日照時間の多い方から (時間),185.1 (2024/2),169.5 (2009/2),166.0 (1962/2),163.4 (2026/2),162.0 (2011/2),161.0 (1976/2),160.2 (1989/2),158.5 (2002/2),155.4 (1952/2),151.8 (1981/2),1943/2 2026/2
月間日照時間の少ない方から (時間),46.0 (1957/2),63.6 (1985/2),65.2 (1984/2),66.2 (1961/2),70.5 (1950/2),72.9 (1956/2),75.4 (2008/2),76.7 (2000/2),80.1 (2025/2),82.5 (1983/2),1943/2 2026/2
降雪の深さ日合計 (cm),-- (2020/2/2),-- (2020/2/1),-- (2019/2/28),-- (2019/2/27),-- (2019/2/26),-- (2019/2/25),-- (2019/2/24),-- (2019/2/23),-- (2019/2/22),-- (2019/2/21),1953/2 2020/2
降雪の深さ月合計 (cm),-- (2019/2),-- (2018/2),-- (2017/2),-- (2016/2),-- (2015/2),-- (2014/2),-- (2013/2),-- (2012/2),-- (2011/2),-- (2010/2),1953/2 2020/2
月最深積雪の大きい方から (cm),-- (2019/2),-- (2018/2),-- (2017/2),-- (2016/2),-- (2015/2),-- (2014/2),-- (2013/2),-- (2012/2),-- (2011/2),-- (2010/2),1942/2 2020/2
月最深積雪の小さい方から (cm),-- (2019/2),-- (2018/2),-- (2017/2),-- (2016/2),-- (2015/2),-- (2014/2),-- (2013/2),-- (2012/2),-- (2011/2),-- (2010/2),1942/2 2020/2
