要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,5.7,28.4,31.5,25.6,7.8,20.4,5.9 @,---,---
2日,5.9,28.4,31.5,25.5,7.7,20.3,5.9 @,---,---
3日,6.0,28.3,31.5,25.5,7.7,20.3,5.9 @,---,---
4日,6.1,28.3,31.4,25.5,7.7,20.2,5.8 @,---,---
5日,6.0,28.3,31.4,25.4,7.7,20.1,5.8 @,---,---
6日,5.9,28.2,31.4,25.4,7.7,20.1,5.8 @,---,---
7日,5.7,28.2,31.4,25.4,7.7,20.0,5.8 @,---,---
8日,5.5,28.2,31.4,25.3,7.7,20.0,5.7 @,---,---
9日,5.3,28.2,31.3,25.3,7.7,20.0,5.7 @,---,---
10日,5.0,28.1,31.3,25.3,7.7,19.9,5.7 @,---,---
11日,4.9,28.1,31.3,25.2,7.6,19.8,5.8 @,---,---
12日,4.8,28.1,31.3,25.2,7.6,19.8,5.8 @,---,---
13日,4.9,28.0,31.2,25.2,7.6,19.7,5.8 @,---,---
14日,5.0,28.0,31.2,25.1,7.5,19.5,5.9 @,---,---
15日,5.1,28.0,31.1,25.1,7.5,19.4,5.9 @,---,---
16日,5.3,27.9,31.1,25.0,7.4,19.3,5.9 @,---,---
17日,5.5,27.9,31.0,25.0,7.4,19.1,6.0 @,---,---
18日,5.7,27.8,30.9,24.9,7.3,19.0,6.0 @,---,---
19日,5.8,27.7,30.9,24.8,7.2,18.9,6.0 @,---,---
20日,5.9,27.7,30.8,24.8,7.2,18.8,6.0 @,---,---
21日,5.9,27.6,30.7,24.7,7.1,18.6,6.0 @,---,---
22日,5.8,27.6,30.7,24.6,7.1,18.5,6.0 @,---,---
23日,5.7,27.5,30.6,24.6,7.0,18.4,6.0 @,---,---
24日,5.5,27.4,30.6,24.5,7.0,18.3,6.0 @,---,---
25日,5.2,27.4,30.5,24.5,7.0,18.2,6.0 @,---,---
26日,5.0,27.3,30.4,24.4,6.9,18.1,6.0 @,---,---
27日,4.8,27.3,30.4,24.4,6.9,18.0,6.0 @,---,---
28日,4.7,27.2,30.3,24.3,6.9,17.9,6.0 @,---,---
29日,4.7,27.2,30.3,24.3,6.8,17.8,6.0 @,---,---
30日,4.7,27.1,30.2,24.2,6.8,17.6,6.1 @,---,---
