日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,29.0,31.3,27.4,///,///,2.4,4.3,北東,6.7,東北東,東北東,///,///,///
2,1.5,1.5,1.0,28.8,31.6,26.3,///,///,2.7,6.2,北東,8.7,北東,北東,///,///,///
3,4.0,1.5,1.0,27.1,28.4,26.2,///,///,1.6,4.0,南東,6.2,南東,南東,///,///,///
4,0.0,0.0,0.0,29.0,32.3,26.3,///,///,5.4,8.3,南南西,11.3,南西,南南西,///,///,///
5,1.0,0.5,0.5,29.2,32.1,27.4,///,///,3.6,5.2,南,8.2,南,南南東,///,///,///
6,0.0,0.0,0.0,29.2,31.6,27.6,///,///,3.4,5.9,南東,8.7,南,南南東,///,///,///
7,0.0,0.0,0.0,29.3,32.1,26.9,///,///,4.2,7.0,南,10.3,南,南,///,///,///
8,0.0,0.0,0.0,29.1,32.5,27.1,///,///,3.6,6.9,南南西,9.8,南,南南西,///,///,///
9,0.0,0.0,0.0,29.1,32.5,26.5,///,///,2.1,4.3,南,6.7,南西,南南西,///,///,///
10,1.5,1.5,1.0,28.6,31.9,25.4,///,///,1.5,3.0,東北東,5.1,南東,東,///,///,///
11,0.5,0.5,0.5,28.7,32.1,26.0,///,///,1.8,3.6,南南東,7.2,南南東,南東,///,///,///
12,3.5,1.5,1.5,28.1,31.3,26.6,///,///,3.0,6.0,南東,11.8,南東,南南東,///,///,///
13,3.5,3.5,3.5,29.2,32.3,27.1,///,///,2.7,5.9,南南西,8.2,南,南南東,///,///,///
14,0.0,0.0,0.0,29.3,32.2,27.8,///,///,2.3,4.1,南東,6.2,南南東,南東,///,///,///
15,1.0,0.5,0.5,29.4,32.8,27.3,///,///,2.0,3.2,東,10.3,東,東,///,///,///
16,0.0,0.0,0.0,29.4,32.2,27.6,///,///,1.9,3.8,南東,7.2,東南東,東,///,///,///
17,0.0,0.0,0.0,29.0,31.8,28.0,///,///,1.7,2.9,東,5.7,東南東,東南東,///,///,///
18,0.0,0.0,0.0,29.2,31.9,27.9,///,///,1.7,3.0,北東,6.2,東,東,///,///,///
19,0.0,0.0,0.0,29.4,32.0,27.5,///,///,1.9,3.6,東,5.7,東南東,東,///,///,///
20,41.5,31.5,14.0,28.7,32.2,24.9,///,///,2.4,4.4,南南東,8.7,北東,南東,///,///,///
21,0.0,0.0,0.0,29.2,32.1,27.2,///,///,2.7,5.5,南南東,9.3,南東,南東,///,///,///
22,0.0,0.0,0.0,29.4,32.2,28.2,///,///,2.5,4.3,南東,7.2,南東,東南東,///,///,///
23,0.0,0.0,0.0,29.5,32.3,28.0,///,///,2.2,3.2,東,6.7,東南東,東,///,///,///
24,0.0,0.0,0.0,29.4,32.1,26.4,///,///,2.4,4.9,東北東,9.3,東,東北東,///,///,///
25,0.5,0.5,0.5,29.4,32.1,26.4,///,///,3.4,6.8,北東,9.8,北東,東,///,///,///
26,1.0,1.0,1.0,28.8,31.9,27.1,///,///,3.4,5.2,北東,9.8,北東,北東,///,///,///
27,0.0,0.0,0.0,28.9,31.4,27.6,///,///,2.3,3.3,北東,5.7,北東,東北東,///,///,///
28,0.0,0.0,0.0,28.2,31.1,25.6,///,///,1.4,2.8,東北東,5.1,東北東,東,///,///,///
29,0.0,0.0,0.0,28.0,31.4,25.0,///,///,1.2,3.0,北,5.1,北,北西,///,///,///
30,0.0,0.0,0.0,28.5,31.9,25.4,///,///,1.9,3.9,北西,6.2,北北西,北西,///,///,///
