地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.8,+0.6,高い,9.5,14,少ない,86.0,112,多い
旧東,28.8,+0.4,／,8.0,11,／,／,／,／
北大東,29.1,+0.4,／,23.5,35,／,／,／,／
