月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
1,上旬,1016.7,1019.1,35.5,31.5,19.5,10.0,18.5,21.0,16.0,22.9,10.3,66,43,5.3,11.7,南南東,18.3,南南西,23.6,8.7,,,,,0 ),0 ),1 )
1,中旬,1018.6,1021.0,29.5,9.0,4.5,3.0,16.7,20.2,12.2,22.2,9.7,68,40,4.0,10.0,南,14.8,南,30.8,9.6,,,,,0,1,0
1,下旬,1016.1,1018.5,38.0,33.5,8.0,3.5,18.1,20.9,15.0,23.1,9.9,65,41,4.9,11.2,北北西,18.1,北北西,48.6,11.4,,,,,0,0,0
2,上旬,1015.9,1018.4,50.5,42.5,11.0,3.5,16.4,19.1,14.3,23.1,9.8,66,43,5.4,12.6,北西,21.2,北北西,21.1,9.6,,,,,0,0,0 )
2,中旬,1018.0,1020.4,5.5,3.0,1.5,1.0,18.0,21.0,15.0,23.7,11.1,69,42,4.1,8.8,南南西,14.3,北,25.4,11.1,,,,,0,0,0
2,下旬,1022.1,1024.6,13.0,12.0,7.5,4.5,16.0,19.7,12.5,24.2,8.9,71,40,3.6,8.8,北,16.0,北,33.6,11.7,,,,,0,0,0 )
3,上旬,1016.1,1018.5,3.5,3.5,2.0,1.0,20.3,23.5,17.7,26.2,14.3,82,53,4.0,9.9,北北東,17.4,北北東,59.2,15.8,,,,,0,0,0 )
3,中旬,1015.4,1017.9,10.0,6.5,3.0,2.5,19.4,22.7,16.7,26.1,12.4,76,38,4.2,9.4,北西,18.2,北北西,39.2,14.1,,,,,0,2,0
3,下旬,1014.4,1016.8,121.0,96.5,37.0,13.5,18.9,22.9,14.3,27.2,7.1,79,38,3.6,9.9,北北東,16.0,北北東,66.1,16.5,,,,,0 ),1 ),1
4,上旬,1013.2,1015.6,154.5,74.0,35.0,15.5,19.5,22.7,16.0,23.9,13.5,74,43,3.5,12.4,北北東,21.1,北北東,58.7,17.0,,,,,0,0,0
