要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),315.0 (1996/9/20),212.0 (2011/9/18),204.5 (2004/9/5),181.5 (2005/9/4),174.1 (1958/9/15),168.0 (1972/9/15),156.5 (1974/9/5),153.5 (1981/9/30),141.5 (2020/9/5),129.1 (1964/9/23),1942/9 2025/9
日最大10分間降水量 (mm),21.0 (2020/9/4),18.0 (2001/9/28),17.5 (2024/9/30),17.2 (1962/9/13),16.5 (1975/9/12),16.0 (1988/9/26),15.0 (2007/9/3),15.0 (1973/9/25),14.5 (2014/9/2),14.5 (2012/9/24),1942/9 2025/9
日最大1時間降水量 (mm),62.0 (2024/9/30),54.5 (2011/9/18),53.5 (1975/9/12),49.5 (2005/9/4),48.0 (1988/9/26),40.0 (2011/9/15),40.0 (2001/9/28),38.0 (2016/9/2),37.4 (1962/9/13),37.0 (1972/9/15),1942/9 2025/9
月最大24時間降水量 (mm),334.5 (1996/9/20),307.0 (2004/9/5),235.5 (2011/9/18),230.0 (2005/9/4),212.0 (1974/9/5),203.7 (1958/9/15),179.5 (1981/9/30),171.0 (2020/9/5),169.0 (1972/9/15),137.5 (1964/9/23),1946/9 2025/9
月降水量の多い方から (mm),506.0 (2011/9),442.5 (1996/9),426.5 (2004/9),354.0 (2001/9),316.5 (2016/9),311.0 (2005/9),306.0 (2020/9),296.5 (1974/9),284.7 (1958/9),270.5 (2024/9),1942/9 2025/9
月降水量の少ない方から (mm),10.4 (1949/9),17.4 (1960/9),20.0 (1984/9),24.0 (2013/9),25.5 (1982/9),29.8 (1947/9),30.5 (2021/9),31.0 (1986/9),31.5 (2008/9),31.5 (1987/9),1942/9 2025/9
日最高気温の高い方から (℃),34.0 (2017/9/7),34.0 (1995/9/11),33.8 (2017/9/4),33.8 (2006/9/1),33.7 (2017/9/8),33.7 (2017/9/6),33.7 (2013/9/6),33.6 (2017/9/22),33.6 (2017/9/5),33.6 (2001/9/11),1942/9 2025/9
日最高気温の低い方から (℃),25.8 (1992/9/21),26.1 (1997/9/28),26.2 (1966/9/27),26.3 (1988/9/27),26.3 (1988/9/26),26.4 (1974/9/4),26.5 (1987/9/28),26.6 (1996/9/26),26.7 (1979/9/2),26.7 (1958/9/25),1942/9 2025/9
日最低気温の高い方から (℃),28.7 (2017/9/7),28.6 (2014/9/20),28.5 (2022/9/4),28.5 (2017/9/8),28.5 (2017/9/6),28.5 (2017/9/4),28.5 (2014/9/21),28.4 (2020/9/2),28.4 (1995/9/15),28.3 (2022/9/5),1942/9 2025/9
日最低気温の低い方から (℃),16.1 (1966/9/29),16.9 (1972/9/21),17.3 (1976/9/26),17.8 (2000/9/26),17.9 (1966/9/30),18.0 (1943/9/23),18.2 (1982/9/14),18.4 (1996/9/23),18.4 (1956/9/28),18.5 (1974/9/19),1942/9 2025/9
月平均気温の高い方から (℃),29.2 (2017/9),28.8 (2021/9),28.8 (1998/9),28.7 (2025/9),28.7 (2023/9),28.7 (2019/9),28.7 (2013/9),28.6 (2024/9),28.6 (2014/9),28.5 (2022/9),1942/9 2025/9
月平均気温の低い方から (℃),25.8 (1976/9),25.9 (1944/9),26.1 (1982/9),26.1 (1974/9),26.3 (2000/9),26.3 (1972/9),26.5 (1965/9),26.6 (1994/9),26.6 (1981/9),26.6 (1966/9),1942/9 2025/9
日最小相対湿度 (%),35 (2006/9/21),42 (1993/9/28),43 (1993/9/27),44 (2006/9/20),44 (2003/9/30),44 (1994/9/19),44 (1980/9/30),45 (2006/9/26),45 (1997/9/1),45 (1967/9/23),1957/9 2025/9
日最大風速・風向 (m/s),43.5 南南東 (1958/9/15),35.4 西南西 (1958/9/16),35.0 南南東 (2020/9/6),32.8 西南西 (2005/9/4),31.7 東 (2020/9/5),31.3 南南東 (1965/9/16),31.3 南南東 (1943/9/19),30.4 南東 (2002/9/4),29.4 南東 (2011/9/18),29.3 南 (1961/9/15),1942/9 2025/9
日最大瞬間風速・風向 (m/s),55.6 西南西 (2005/9/4),54.1 南南東 (1958/9/15),52.8 東南東 (2004/9/5),51.6 東 (2020/9/5),51.1 北北西 (1964/9/23),50.7 南南西 (2020/9/6),49.5 南 (2002/9/4),47.3 東 (2004/9/4),47.0 南南東 (1965/9/16),46.5 北北西 (1996/9/20),1942/9 2025/9
月間日照時間の多い方から (時間),279.5 (1960/9),278.6 (1984/9),274.1 (1943/9),271.7 (2021/9),270.5 (2015/9),268.0 (2025/9),262.2 (1986/9),260.1 (2023/9),260.1 (1952/9),258.5 (1948/9),1943/9 2025/9
月間日照時間の少ない方から (時間),150.5 (1954/9),165.7 (2016/9),173.3 (1956/9),173.6 (2011/9),177.1 (1965/9),180.3 (1957/9),180.7 (1976/9),183.7 (1958/9),186.4 (1971/9),189.9 (1953/9),1943/9 2025/9
降雪の深さ日合計 (cm),-- (2019/9/30),-- (2019/9/29),-- (2019/9/28),-- (2019/9/27),-- (2019/9/26),-- (2019/9/25),-- (2019/9/24),-- (2019/9/23),-- (2019/9/22),-- (2019/9/21),1953/9 2019/9
降雪の深さ月合計 (cm),-- (2019/9),-- (2018/9),-- (2017/9),-- (2016/9),-- (2015/9),-- (2014/9),-- (2013/9),-- (2012/9),-- (2011/9),-- (2010/9),1953/9 2019/9
月最深積雪の大きい方から (cm),-- (2019/9),-- (2018/9),-- (2017/9),-- (2016/9),-- (2015/9),-- (2014/9),-- (2013/9),-- (2012/9),-- (2011/9),-- (2010/9),1942/9 2019/9
月最深積雪の小さい方から (cm),-- (2019/9),-- (2018/9),-- (2017/9),-- (2016/9),-- (2015/9),-- (2014/9),-- (2013/9),-- (2012/9),-- (2011/9),-- (2010/9),1942/9 2019/9
