日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,29.4,31.8,28.2,///,///,5.1,7.5,東南東,9.8,東南東,東,///,///,///
2,5.5,4.5,3.5,29.3,31.7,25.9,///,///,4.4,7.7,東北東,11.8,南東,北東,///,///,///
3,14.5,13.0,5.5,27.4,29.1,25.7,///,///,3.1,7.5,南東,8.7,南東,南東,///,///,///
4,0.5,0.5,0.5,29.4,32.9,27.0,///,///,6.4,9.5,南南東,11.8,南西,南南西,///,///,///
5,0.0,0.0,0.0,29.8,32.4,28.1,///,///,6.4,8.6,南南東,9.8,南南東,南南東,///,///,///
6,2.0,1.5,1.5,29.5,32.3,26.9,///,///,6.3,9.2,南南東,10.8,南南東,南南東,///,///,///
7,1.0,1.5,1.0,29.7,32.3,27.3,///,///,6.1,8.9,南南東,10.8,南南東,南,///,///,///
8,0.0,0.0,0.0,29.4,32.3,27.6,///,///,4.2,7.1,南,8.7,南,南,///,///,///
9,0.0,0.0,0.0,28.8,31.8,26.4,///,///,2.4,3.9,西南西,5.7,西,西南西,///,///,///
10,0.0,0.0,0.0,28.7,31.8,25.2,///,///,2.2,5.9,東南東,8.2,東,東,///,///,///
11,0.5,0.5,0.5,29.0,31.9,26.2,///,///,3.1,6.2,南東,7.7,東,東南東,///,///,///
12,5.0,3.5,3.5,28.8,32.3,26.2,///,///,5.4,10.2,南南東,13.4,南南東,南南東,///,///,///
13,0.0,0.0,0.0,29.8,32.4,28.1,///,///,4.5,7.6,南南東,9.3,南南東,南南東,///,///,///
14,0.0,0.0,0.0,30.1,33.4,28.2,///,///,4.2,6.6,南東,7.7,南南東,東南東,///,///,///
15,0.0,0.0,0.0,30.2,32.7,28.5,///,///,4.8,7.9,南東,11.3,南東,東南東,///,///,///
16,0.0,0.0,0.0,29.9,32.6,28.3,///,///,4.9,7.2,東,8.7,東,東,///,///,///
17,0.0,0.0,0.0,29.5,32.0,28.1,///,///,4.6,6.8,東,8.7,南東,東,///,///,///
18,0.0,0.0,0.0,29.6,32.2,27.9,///,///,4.0,5.5,東北東,7.7,東北東,東,///,///,///
19,0.0,0.0,0.0,29.9,32.8,28.1,///,///,4.7,7.0,東南東,8.2,東南東,東,///,///,///
20,2.0,1.5,1.0,29.5,32.8,26.4,///,///,5.1,8.8,東南東,11.3,東,東南東,///,///,///
21,0.5,0.5,0.5,29.8,32.8,28.1,///,///,6.8,9.8,南東,11.8,南東,東南東,///,///,///
22,0.5,0.5,0.5,30.0,32.9,28.6,///,///,6.5,8.4,東南東,11.8,東南東,東南東,///,///,///
23,0.5,0.5,0.5,30.1,33.3,28.0,///,///,6.1,9.4,東,11.3,東南東,東,///,///,///
24,0.5,0.5,0.5,30.0,33.0,26.9,///,///,6.5,10.2,東南東,12.9,南東,東,///,///,///
25,0.0,0.0,0.0,30.2,33.2,28.1,///,///,8.0,10.7,東,12.3,東北東,東,///,///,///
26,1.0,1.0,0.5,29.3,33.0,27.2,///,///,6.6,11.3,東,13.9,東,東北東,///,///,///
27,0.0,0.0,0.0,29.6,32.7,28.2,///,///,4.5,6.7,東,8.2,東,東,///,///,///
28,0.0,0.0,0.0,28.8,32.2,25.2,///,///,2.4,4.4,東,5.7,東,東,///,///,///
29,0.0,0.0,0.0,27.7,32.5,24.1,///,///,1.7,3.8,東南東,6.7,北西,北西,///,///,///
30,0.0,0.0,0.0,28.5,32.1,25.0,///,///,2.6,4.6,北西,7.2,西北西,西北西,///,///,///
