地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.7,+1.3,かなり高い,6.5,14,少ない,98.1,142,かなり多い
旧東,28.9,+0.9,／,1.5,6,／,／,／,／
北大東,29.4,+1.2,／,3.0,12,／,／,／,／
