月,月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高日気温(℃),月間最低日気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),日照時間(h),月合計降雪深(cm),月最大日降雪深(cm),月最深積雪(cm)
1,42.0,16.5,14.5,5.0,18.9,21.6,16.3,24.7,12.1,///,///,5.9,15.1,東南東,17.5,東南東,///,///,///,///
2,27.0,24.0,7.5,2.5,20.6,23.5,18.1,26.8,14.5,///,///,5.5,14.4,南東,18.0,南東,///,///,///,///
3,60.5,21.0,19.5,13.5,20.3,22.9,18.0,26.4,11.0,///,///,6.5,15.9,南南東,20.1,西,///,///,///,///
4,260.0,102.0,60.0,14.5,23.6,26.0,21.8,29.2,19.8,///,///,5.0,15.2,南東,19.0,西北西,///,///,///,///
5,125.0,28.5,18.5,7.0,25.0,27.6,23.2,31.2,20.8,///,///,5.2,20.1,東,24.7,北北東,///,///,///,///
6,139.0,41.0,15.0,6.5,27.4,30.2,25.1,33.2,20.0,///,///,5.2,12.2,北北東,16.5,南西,///,///,///,///
7,50.5,23.0,8.5,5.0,30.6,33.7,28.3,35.1,25.8,///,///,5.4,15.5,南南東,20.1,南南東,///,///,///,///
8,300.5,137.5,42.0,18.0,29.9,33.0,27.2,35.1,22.5,///,///,4.5,15.7,南,22.1,南南西,///,///,///,///
9,246.0,71.5,58.5,19.5,29.0,31.6,26.6,33.7,22.3,///,///,7.5,24.4,南東,31.4,東南東,///,///,///,///
10,16.5,4.5,3.5,1.5,28.3,30.9,26.5,31.9,23.2,///,///,6.9,13.9,東南東,18.0,南南東,///,///,///,///
11,148.0,42.0,24.0,8.5,25.1,27.3,23.4,31.6,18.4,///,///,6.6,14.2,東,18.0,東北東,///,///,///,///
12,30.0,6.5,4.0,2.0,20.1,22.5,17.8,26.3,13.8,///,///,5.8,16.0,北,22.1,北北東,///,///,///,///
