地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,19.2,-0.5,平年並,43.0,34,少ない,120.3,100,平年並
旧東,19.7,-0.4,／,36.5,30,／,／,／,／
北大東,20.1,-0.2,／,30.0,29,／,／,／,／
