地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.8,+0.1,平年並,14.0,28,少ない,28.0,63,かなり少ない
旧東,19.0,-0.2,／,6.5,16,／,／,／,／
北大東,19.3,-0.1,／,5.0,15,／,／,／,／
