地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.7,-1.0,低い,17.5,47,少ない,42.1,115,平年並
旧東,19.3,-0.6,／,14.0,42,／,／,／,／
北大東,19.6,-0.6,／,14.5,50,／,／,／,／
