月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
1,上旬,1016.4,1018.9,42.0,29.5,10.0,5.5,18.2,22.0,13.4,23.4,9.9,68,42,4.0,11.0,北西,17.2,北西,54.8,12.2,,,,,0,0,0
1,中旬,1018.6,1021.0,0.0,0.0,0.0,0.0,18.6,22.2,14.0,24.5,10.0,65,37,4.2,10.3,北西,18.0,北西,73.3,14.2,,,,,0 ),0 ),0
1,下旬,1020.3,1022.7,24.5,22.5,22.0,12.5,18.1,20.9,15.3,24.1,11.3,67,44,4.9,9.7,北西,15.8,北北西,40.6,10.9,,,,,0 ),0 ),0 )
2,上旬,1017.1,1019.5,32.0,19.5,12.5,10.5,19.7,23.2,16.0,25.5,13.3,81,49,3.4,9.2,西,17.7,西,54.5,13.6,,,,,0 ),2 ),0
2,中旬,1020.5,1022.9,0.5,0.5,0.5,0.5,20.5,23.6,17.6,26.4,14.3,69,36,4.3,8.3,東南東,12.7,南東,73.9,16.8,,,,,0,0,0
2,下旬,1017.2,1019.6,1.5,1.5,1.5,1.5,21.1,24.4,18.1,27.6,16.6,72,53,4.9,10.7,南南東,16.7,北西,56.7,16.1,,,,,0 ],0 ],0
3,上旬,1014.4,1016.9,45.5,15.5,15.5,12.0,19.3,21.9,16.9,26.4,13.7,72,43,5.4,13.2,南,23.0,南,27.4,12.0,,,,,0,0,0 )
3,中旬,1016.3,1018.8,24.0,22.5,20.0,12.5,19.5,22.7,15.8,24.6,12.1,66,37,5.0,13.0,南南東,19.1,南南西,67.9,18.3,,,,,0 ),0 ),0
3,下旬,1015.6,1018.0,3.0,2.0,1.0,0.5,21.6,25.1,18.1,27.4,8.9,75,38,4.6,10.9,南南西,16.8,南南西,81.7,19.8,,,,,0 ),0 ),1
4,上旬,1012.9,1015.3,26.5,19.5,19.0,10.0,23.9,26.7,22.4,28.8,20.4,88,61,4.6,9.4,北東,16.7,西,38.9,15.5,,,,,0 ),0 ),1
4,中旬,1011.3,1013.7,82.5,57.5,15.5,6.5,22.9,25.7,20.1,28.1,16.1,84,57,3.9,13.0,南東,19.0,南東,50.7,16.6,,,,,0 ),2 ),1
4,下旬,1009.2,1011.6,149.0,62.5,27.5,10.5,24.3,26.8,22.7,28.9,21.9,94,72,4.1,9.6,西南西,16.4,西南西,39.8,14.6,,,,,0 ],2 ],4 ]
5,上旬,1011.9,1014.3,11.0,5.0,4.0,1.5,24.1,27.2,21.7,29.0,17.9,82,52,4.0,9.7,東,13.7,東南東,70.2,21.2,,,,,0 ],1 ],0
