地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.3,-0.6,平年並,11.5,30,平年並,50.2,126,多い
旧東,21.1,+0.0,／,16.0,35,／,／,／,／
北大東,21.4,+0.0,／,10.5,25,／,／,／,／
