地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,16.4,-1.2,低い,8.5,27,平年並,46.8,117,多い
旧東,17.1,-0.9,／,7.5,21,／,／,／,／
北大東,17.2,-0.9,／,8.5,30,／,／,／,／
