地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,18.2,+0.1,平年並,31.0,39,少ない,163.4,136,かなり多い
旧東,18.8,+0.1,／,29.5,40,／,／,／,／
北大東,18.9,+0.1,／,19.0,29,／,／,／,／
