地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.8,+2.1,かなり高い,0.5,3,少ない,47.0,122,平年並
旧東,20.8,+1.3,／,3.5,16,／,／,／,／
北大東,21.1,+1.4,／,0.5,2,／,／,／,／
