地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,17.9,-0.3,平年並,22.0,75,平年並,69.6,166,かなり多い
旧東,18.8,+0.2,／,18.5,123,／,／,／,／
北大東,18.8,+0.1,／,10.0,62,／,／,／,／
