日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.5,0.0,18.0,20.5,15.7,///,///,6.4,10.5,北,12.9,北,北,///,///,///
2,0.0,0.0,0.0,17.6,20.1,13.3,///,///,2.6,6.7,北北西,8.7,北北西,北北西,///,///,///
3,0.0,0.0,0.0,17.0,19.4,14.6,///,///,7.4,9.5,北,13.9,北北西,北,///,///,///
4,0.0,0.0,0.0,17.2,20.1,14.6,///,///,3.5,6.9,東,8.7,東,東北東,///,///,///
5,0.0,0.0,0.0,15.8,21.1,10.0,///,///,1.6,4.3,南南東,6.2,南東,東南東,///,///,///
6,0.0,0.0,0.0,20.1,23.1,17.1,///,///,4.1,5.7,西南西,7.7,西南西,南,///,///,///
7,6.0,5.5,2.0,19.1,21.8,16.5,///,///,7.7,12.5,北北西,15.9,北北西,北,///,///,///
8,0.5,0.5,0.5,15.1,17.8,11.7,///,///,9.5,13.4,北西,19.5,北西,北西,///,///,///
9,1.0,1.0,0.5,13.7,16.2,10.6,///,///,8.2,14.0,北,18.5,北北東,北東,///,///,///
10,1.0,0.5,0.5,17.9,20.7,13.9,///,///,5.3,9.5,東,11.3,東,東南東,///,///,///
11,1.5,0.5,0.5,19.1,23.4,17.0,///,///,6.1,10.0,北西,14.4,西北西,北北西,///,///,///
12,0.0,0.0,0.0,18.1,20.8,16.3,///,///,4.5,7.3,北北西,10.3,北,北北西,///,///,///
13,0.0,0.0,0.0,17.9,21.3,12.1,///,///,2.8,5.5,東,7.2,東,北北東,///,///,///
14,0.0,0.0,0.0,19.0,22.1,11.7,///,///,3.6,5.9,南東,7.2,南東,東南東,///,///,///
15,0.0,0.0,0.0,19.6,23.6,14.5,///,///,2.4,5.3,南東,6.7,南南西,西南西,///,///,///
16,0.0,0.0,0.0,20.4,23.5,16.6,///,///,2.5,4.4,北,6.2,北北西,北,///,///,///
17,8.5,6.0,3.0,19.3,21.1,17.0,///,///,4.0,8.7,北,10.8,北北東,北,///,///,///
18,0.0,0.0,0.0,19.0,21.9,17.1,///,///,6.3,10.1,北北西,12.9,北北西,北北西,///,///,///
19,0.0,0.0,0.0,17.8,20.5,15.7,///,///,4.8,7.9,北,11.3,北北東,北北東,///,///,///
20,0.0,0.0,0.0,18.1,21.7,13.5,///,///,2.1,4.3,南南東,6.2,南南東,南南東,///,///,///
21,0.0,0.0,0.0,19.0,22.7,12.2,///,///,4.4,8.7,南東,10.3,東南東,南東,///,///,///
22,0.0,0.0,0.0,21.1,23.2,19.7,///,///,8.0,9.7,南東,11.3,東南東,南東,///,///,///
23,0.0,0.0,0.0,21.6,24.1,20.2,///,///,7.0,10.3,東,12.3,東,東,///,///,///
24,0.0,0.0,0.0,21.4,24.3,20.0,///,///,8.4,10.8,東南東,12.9,東南東,南東,///,///,///
25,0.5,0.5,0.5,21.8,25.1,19.6,///,///,3.2,9.0,南南東,10.8,南南東,南南東,///,///,///
26,0.0,0.0,0.0,21.2,23.7,19.6,///,///,2.7,6.6,北北東,7.7,北北東,北北西,///,///,///
27,0.0,0.0,0.0,21.1,23.8,17.8,///,///,2.7,5.8,南,7.7,南南西,南南西,///,///,///
28,0.0,0.0,0.0,21.5,24.6,19.5,///,///,7.8,11.3,北,14.4,北,北東,///,///,///
