地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.4,+0.5,高い,62.5,31,少ない,272.0,124,多い
旧東,27.5,+0.5,／,63.5,31,／,／,／,／
北大東,27.6,+0.5,／,52.5,25,／,／,／,／
