地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.5,+1.6,かなり高い,0.0,0,かなり少ない,112.3,171,かなり多い
旧東,28.3,+1.4,／,0.0,0,／,／,／,／
北大東,28.4,+1.4,／,0.0,0,／,／,／,／
