地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,25.4,-0.4,平年並,55.5,57,平年並,63.3,111,平年並
旧東,25.3,-0.6,／,55.0,63,／,／,／,／
北大東,25.2,-0.8,／,51.0,55,／,／,／,／
