要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),388.2 (1957/6/14),308.0 (2019/6/11),187.0 (1989/6/14),179.5 (1996/6/1),161.9 (1958/6/22),158.9 (1957/6/15),150.0 (2012/6/5),147.0 (2004/6/20),146.8 (1943/6/22),138.5 (2021/6/21),1942/6 2025/6
日最大10分間降水量 (mm),24.0 (1996/6/1),21.5 (2012/6/10),21.0 (1969/6/3),20.0 (1965/6/3),20.0 (1957/6/14),19.5 (2021/6/21),19.5 (1987/6/21),19.5 (1969/6/2),19.0 (2020/6/10),19.0 (1989/6/14),1942/6 2025/6
日最大1時間降水量 (mm),108.6 (1957/6/14),86.0 (1996/6/1),77.5 (1989/6/14),74.0 (2020/6/10),67.5 (2007/6/19),65.5 (1973/6/25),61.0 (2021/6/21),55.5 (1965/6/3),53.5 (1969/6/24),53.0 (1957/6/13),1942/6 2025/6
月最大24時間降水量 (mm),421.4 (1957/6/14),308.0 (2019/6/11),189.5 (1996/6/1),187.0 (1989/6/14),175.7 (1958/6/22),173.5 (1985/6/29),167.5 (2021/6/22),160.0 (2012/6/5),150.5 (2004/6/20),147.0 (1969/6/22),1946/6 2025/6
月降水量の多い方から (mm),844.0 (1969/6),836.1 (1957/6),523.5 (1949/6),521.0 (2019/6),498.5 (2021/6),475.5 (2012/6),429.0 (1995/6),428.0 (1975/6),385.4 (1943/6),385.1 (1958/6),1942/6 2025/6
月降水量の少ない方から (mm),10.0 (1991/6),12.5 (2013/6),29.0 (1980/6),33.0 (1984/6),37.5 (2011/6),48.0 (2015/6),48.7 (1953/6),56.1 (1956/6),57.5 (1970/6),59.5 (1979/6),1942/6 2025/6
日最高気温の高い方から (℃),34.1 (1991/6/28),33.5 (2011/6/20),33.4 (2025/6/30),33.4 (2025/6/27),33.4 (2016/6/29),33.4 (1991/6/29),33.3 (2016/6/30),33.3 (2001/6/29),33.2 (2001/6/30),33.2 (1991/6/30),1942/6 2025/6
日最高気温の低い方から (℃),21.1 (1950/6/4),21.4 (1982/6/4),22.0 (1981/6/6),22.1 (1950/6/6),22.3 (2024/6/3),22.4 (1950/6/3),22.7 (1994/6/2),22.7 (1947/6/17),22.7 (1947/6/5),22.8 (1992/6/1),1942/6 2025/6
日最低気温の高い方から (℃),28.3 (2014/6/29),28.3 (2014/6/28),28.3 (2001/6/24),28.1 (2001/6/23),28.0 (2022/6/30),28.0 (2020/6/19),28.0 (2014/6/30),27.9 (2022/6/26),27.9 (2020/6/20),27.9 (2016/6/26),1942/6 2025/6
日最低気温の低い方から (℃),14.6 (1993/6/4),15.8 (1972/6/10),16.1 (1944/6/7),16.3 (1993/6/3),16.6 (2009/6/2),16.6 (1964/6/10),16.8 (1973/6/13),16.9 (1986/6/2),16.9 (1958/6/2),16.9 (1946/6/6),1942/6 2025/6
月平均気温の高い方から (℃),28.3 (1991/6),28.3 (1971/6),28.1 (2013/6),28.1 (2011/6),28.1 (2001/6),28.0 (2015/6),27.9 (2020/6),27.9 (2016/6),27.7 (1961/6),27.7 (1953/6),1942/6 2025/6
月平均気温の低い方から (℃),24.9 (1973/6),24.9 (1958/6),25.0 (1950/6),25.1 (1966/6),25.1 (1948/6),25.1 (1947/6),25.3 (1982/6),25.3 (1969/6),25.3 (1949/6),25.3 (1944/6),1942/6 2025/6
日最小相対湿度 (%),36 (1993/6/3),39 (2009/6/1),42 (1993/6/4),46 (2024/6/5),48 (2025/6/1),48 (2007/6/11),48 (1964/6/4),49 (1972/6/10),50 (2019/6/17),50 (2009/6/2),1958/6 2025/6
日最大風速・風向 (m/s),28.6 南南東 (2004/6/20),26.2 南南東 (2012/6/19),25.9 南 (2012/6/5),24.7 南 (1985/6/29),21.9 南東 (2004/6/19),21.2 南南東 (2012/6/18),21.2 東 (1960/6/7),20.7 南南東 (1951/6/30),20.1 南南西 (1949/6/20),19.7 北東 (1960/6/8),1942/6 2025/6
日最大瞬間風速・風向 (m/s),48.7 南南東 (2004/6/20),39.5 南東 (1985/6/29),39.0 南 (2012/6/5),38.8 南南東 (2012/6/19),37.9 南東 (2004/6/19),33.6 南南東 (2012/6/18),31.0 東 (1960/6/7),30.3 南南西 (2023/6/2),29.3 南南西 (1992/6/29),28.6 南南西 (2014/6/11),1942/6 2025/6
月間日照時間の多い方から (時間),331.0 (1991/6),280.2 (1996/6),278.2 (1980/6),276.1 (1953/6),274.8 (2001/6),274.7 (2013/6),272.3 (2015/6),272.0 (2025/6),271.3 (1999/6),269.1 (2011/6),1943/6 2025/6
月間日照時間の少ない方から (時間),87.3 (1949/6),100.5 (1957/6),105.8 (1969/6),114.8 (1973/6),117.1 (1959/6),123.0 (2021/6),125.8 (2019/6),130.2 (1982/6),139.3 (1958/6),145.7 (1966/6),1943/6 2025/6
降雪の深さ日合計 (cm),-- (2019/6/30),-- (2019/6/29),-- (2019/6/28),-- (2019/6/27),-- (2019/6/26),-- (2019/6/25),-- (2019/6/24),-- (2019/6/23),-- (2019/6/22),-- (2019/6/21),1953/6 2019/6
降雪の深さ月合計 (cm),-- (2019/6),-- (2018/6),-- (2017/6),-- (2016/6),-- (2015/6),-- (2014/6),-- (2013/6),-- (2012/6),-- (2011/6),-- (2010/6),1953/6 2019/6
月最深積雪の大きい方から (cm),-- (2019/6),-- (2018/6),-- (2017/6),-- (2016/6),-- (2015/6),-- (2014/6),-- (2013/6),-- (2012/6),-- (2011/6),-- (2010/6),1942/6 2019/6
月最深積雪の小さい方から (cm),-- (2019/6),-- (2018/6),-- (2017/6),-- (2016/6),-- (2015/6),-- (2014/6),-- (2013/6),-- (2012/6),-- (2011/6),-- (2010/6),1942/6 2019/6
