要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,10.1,25.3,27.9,23.1,5.4,18.7,7.8 @,---,---
2日,10.0,25.4,28.0,23.2,5.5,18.8,7.9 @,---,---
3日,9.9,25.5,28.1,23.3,5.5,18.8,7.9 @,---,---
4日,9.9,25.6,28.3,23.5,5.6,18.9,7.9 @,---,---
5日,9.9,25.7,28.4,23.6,5.7,19.0,7.9 @,---,---
6日,10.0,25.8,28.5,23.7,5.7,19.1,7.9 @,---,---
7日,10.1,26.0,28.6,23.9,5.8,19.2,7.9 @,---,---
8日,10.1,26.1,28.7,24.0,5.9,19.3,7.9 @,---,---
9日,10.1,26.2,28.8,24.1,6.0,19.4,7.9 @,---,---
10日,10.0,26.3,28.9,24.2,6.0,19.5,7.9 @,---,---
11日,9.8,26.4,29.0,24.3,6.1,19.6,7.9 @,---,---
12日,9.5,26.5,29.1,24.5,6.3,19.8,7.9 @,---,---
13日,9.1,26.6,29.2,24.6,6.4,19.9,7.8 @,---,---
14日,8.6,26.7,29.3,24.7,6.6,20.2,7.8 @,---,---
15日,8.1,26.9,29.4,24.8,6.7,20.4,7.7 @,---,---
16日,7.4,27.0,29.6,24.9,7.0,20.8,7.6 @,---,---
17日,6.8,27.1,29.7,25.1,7.2,21.1,7.5 @,---,---
18日,6.1,27.2,29.8,25.2,7.4,21.5,7.3 @,---,---
19日,5.4,27.3,30.0,25.3,7.7,21.9,7.2 @,---,---
20日,4.8,27.5,30.1,25.4,8.0,22.4,7.0 @,---,---
21日,4.3,27.6,30.3,25.5,8.3,22.8,6.8 @,---,---
22日,3.8,27.7,30.4,25.6,8.6,23.2,6.7 @,---,---
23日,3.3,27.8,30.6,25.7,8.8,23.6,6.5 @,---,---
24日,2.9,28.0,30.8,25.8,9.1,23.9,6.3 @,---,---
25日,2.6,28.1,30.9,25.9,9.3,24.2,6.1 @,---,---
26日,2.3,28.2,31.0,26.0,9.5,24.5,6.0 @,---,---
27日,2.2,28.3,31.2,26.0,9.7,24.7,5.9 @,---,---
28日,2.1,28.3,31.3,26.1,9.8,24.8,5.8 @,---,---
29日,2.0,28.4,31.4,26.1,9.9,24.9,5.7 @,---,---
30日,2.0,28.5,31.4,26.1,9.9,24.9,5.7 @,---,---
