地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.3,-1.2,低い,60.0,124,多い,53.4,100,平年並
旧東,20.3,-1.4,／,57.5,153,／,／,／,／
北大東,20.3,-1.5,／,43.0,96,／,／,／,／
