地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,19.5,-1.2,低い,154.5,470,かなり多い,58.7,114,平年並
旧東,19.5,-1.2,／,141.0,534,／,／,／,／
北大東,19.7,-1.1,／,155.0,505,／,／,／,／
