地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,20.8,-0.8,低い,221.0,195,かなり多い,169.5,111,多い
旧東,20.8,-0.7,／,205.0,200,／,／,／,／
北大東,20.9,-0.7,／,204.5,182,／,／,／,／
