日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,58.5,30.0,9.5,20.7,23.2,18.1,///,///,11.0,17.9,北,23.1,北北東,北東,///,///,///
2,0.5,0.5,0.5,20.6,23.2,19.2,///,///,5.3,9.5,北,12.3,北,北,///,///,///
3,0.0,0.0,0.0,19.4,22.2,17.9,///,///,6.3,9.0,北,12.3,北,北,///,///,///
4,0.0,0.0,0.0,19.0,22.1,17.2,///,///,4.3,6.0,北北西,8.7,北北西,北北西,///,///,///
5,0.0,0.0,0.0,19.9,22.5,17.8,///,///,5.5,8.2,東南東,10.8,東,東,///,///,///
6,6.5,2.5,1.5,18.7,21.2,16.6,///,///,3.6,8.3,南南東,10.3,南南東,東北東,///,///,///
7,0.0,0.0,0.0,20.0,22.5,18.2,///,///,6.9,9.5,北北東,11.8,北,北北東,///,///,///
8,0.0,0.0,0.0,19.1,21.9,17.5,///,///,4.4,7.7,東北東,9.8,東,東北東,///,///,///
9,0.0,0.0,0.0,19.3,22.2,15.6,///,///,3.4,5.5,東南東,6.7,東南東,東,///,///,///
10,89.5,29.0,9.0,20.6,22.2,17.9,///,///,5.6,16.3,東,19.5,東,東南東,///,///,///
11,0.0,0.5,0.0,20.3,23.2,17.9,///,///,4.6,13.2,東,15.4,東,北西,///,///,///
12,0.0,0.0,0.0,21.0,24.1,16.1,///,///,3.6,8.5,南南東,10.3,南南東,南南東,///,///,///
13,7.0,3.5,2.0,18.7,24.6,14.7,///,///,6.6,11.3,北西,16.5,北西,北北西,///,///,///
14,1.0,1.0,1.0,17.8,20.0,15.8,///,///,2.8,5.4,西,7.7,西,北西,///,///,///
15,0.0,0.0,0.0,20.0,22.3,17.0,///,///,5.2,8.9,北西,11.8,北西,北西,///,///,///
16,0.0,0.0,0.0,19.7,23.0,14.9,///,///,2.8,7.1,南東,8.7,南東,南東,///,///,///
17,0.0,0.0,0.0,21.5,23.9,19.7,///,///,6.9,8.8,東南東,10.3,南,南東,///,///,///
18,28.5,19.0,14.0,20.0,21.2,18.6,///,///,8.1,12.1,北北東,14.9,北東,東北東,///,///,///
19,0.0,0.0,0.0,21.6,24.0,20.3,///,///,6.1,8.6,東,10.3,東,東,///,///,///
20,6.5,6.5,5.0,22.6,25.6,20.9,///,///,4.3,7.5,南西,11.3,西南西,南,///,///,///
21,0.0,0.0,0.0,22.4,24.5,21.4,///,///,3.5,5.6,東北東,6.7,東南東,東北東,///,///,///
22,0.0,0.0,0.0,22.6,24.9,20.0,///,///,2.2,6.1,東南東,7.2,東,南南東,///,///,///
23,0.0,0.0,0.0,24.4,26.6,22.3,///,///,4.9,8.3,西南西,11.8,南西,西南西,///,///,///
24,0.5,0.5,0.5,22.3,24.5,20.6,///,///,4.1,6.6,北西,8.2,北北西,北西,///,///,///
25,0.0,0.0,0.0,21.9,24.4,19.4,///,///,3.5,7.5,北,9.3,北,西北西,///,///,///
26,0.0,0.0,0.0,21.3,23.8,20.3,///,///,5.8,8.4,北,10.3,北北東,北,///,///,///
27,0.0,0.0,0.0,21.9,23.3,20.5,///,///,8.4,10.3,東南東,11.8,東,東,///,///,///
28,6.0,6.0,6.0,24.2,28.4,21.6,///,///,5.9,9.3,南西,12.3,南西,南西,///,///,///
29,0.0,0.0,0.0,22.3,24.8,19.9,///,///,5.6,7.5,北北西,9.8,北北西,北,///,///,///
30,0.0,0.0,0.0,22.0,24.9,18.3,///,///,5.1,8.8,東,10.3,東南東,東北東,///,///,///
