地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,22.5,+0.0,平年並,6.5,20,少ない,57.4,119,平年並
旧東,22.5,+0.3,／,6.5,17,／,／,／,／
北大東,22.5,+0.1,／,6.5,17,／,／,／,／
