地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.1,-0.6,低い,939.0,796,かなり多い,144.0,52,かなり少ない
旧東,28.0,-0.8,／,784.0,794,／,／,／,／
北大東,28.4,-0.7,／,918.5,1157,／,／,／,／
