地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.3,-0.4,低い,26.5,97,多い,59.6,62,かなり少ない
旧東,28.3,-0.5,／,11.5,37,／,／,／,／
北大東,28.8,-0.2,／,48.5,176,／,／,／,／
