要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,2.0,28.5,31.5,26.2,9.9,24.9,5.7 @,---,---
2日,2.1,28.6,31.6,26.2,9.9,24.9,5.7 @,---,---
3日,2.2,28.6,31.6,26.2,9.8,24.8,5.8 @,---,---
4日,2.3,28.6,31.6,26.2,9.7,24.7,5.8 @,---,---
5日,2.5,28.7,31.7,26.2,9.6,24.5,5.9 @,---,---
6日,2.6,28.7,31.7,26.1,9.6,24.4,5.9 @,---,---
7日,2.7,28.7,31.7,26.1,9.5,24.3,6.0 @,---,---
8日,2.8,28.7,31.7,26.1,9.4,24.1,6.0 @,---,---
9日,2.9,28.7,31.7,26.1,9.3,24.0,6.0 @,---,---
10日,3.0,28.6,31.7,26.0,9.2,23.9,6.0 @,---,---
11日,3.1,28.6,31.7,26.0,9.2,23.7,6.1 @,---,---
12日,3.2,28.6,31.7,25.9,9.1,23.6,6.1 @,---,---
13日,3.3,28.6,31.7,25.9,9.0,23.5,6.1 @,---,---
14日,3.5,28.6,31.7,25.9,9.0,23.4,6.1 @,---,---
15日,3.6,28.6,31.7,25.9,8.9,23.2,6.1 @,---,---
16日,3.8,28.6,31.7,25.9,8.9,23.1,6.1 @,---,---
17日,3.9,28.6,31.7,25.9,8.8,23.0,6.1 @,---,---
18日,4.1,28.6,31.7,25.9,8.8,22.9,6.1 @,---,---
19日,4.2,28.6,31.7,25.8,8.7,22.9,6.1 @,---,---
20日,4.4,28.6,31.8,25.8,8.7,22.8,6.1 @,---,---
21日,4.5,28.7,31.8,25.8,8.7,22.7,6.1 @,---,---
22日,4.6,28.7,31.8,25.8,8.6,22.7,6.1 @,---,---
23日,4.7,28.7,31.8,25.8,8.6,22.6,6.1 @,---,---
24日,4.8,28.7,31.8,25.8,8.6,22.6,6.1 @,---,---
25日,4.8,28.7,31.8,25.8,8.5,22.5,6.1 @,---,---
26日,4.9,28.7,31.8,25.8,8.5,22.4,6.1 @,---,---
27日,4.9,28.7,31.8,25.8,8.4,22.3,6.1 @,---,---
28日,5.0,28.7,31.8,25.8,8.3,22.2,6.1 @,---,---
29日,5.1,28.7,31.7,25.8,8.3,22.0,6.1 @,---,---
30日,5.3,28.7,31.7,25.9,8.2,21.9,6.1 @,---,---
31日,5.4,28.7,31.7,25.9,8.1,21.7,6.2 @,---,---
