日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,29.8,32.6,28.2,///,///,6.8,9.2,東北東,10.8,東北東,東北東,///,///,///
2,0.0,0.0 ),0.0 ),29.5,32.2 ),27.6 ),///,///,7.7 ),9.7 ),東北東 ),11.3 ),東北東 ),東北東,///,///,///
3,0.0,0.0,0.0,29.2,33.0,27.1,///,///,5.9,8.8,東,9.8,東,東,///,///,///
4,0.0,0.0,0.0,29.1,32.1,27.4,///,///,4.3,5.8,東,6.7,東,東,///,///,///
5,0.0,0.0,0.0,29.0,32.0,27.1,///,///,3.0,4.5,南南東,5.7,南東,東,///,///,///
6,0.0,0.0,0.0,29.3,32.3,27.9,///,///,3.1,4.8,南東,5.7,南東,南東,///,///,///
7,0.5,0.5,0.5,28.5,31.3,26.7,///,///,2.2,5.8,北西,8.7,北西,南西,///,///,///
8,27.0,22.0,8.5,28.0,30.2,25.0,///,///,3.0,12.8,東北東,17.5,東北東,南東,///,///,///
9,14.0,14.0,11.0,27.8,29.4,25.7,///,///,5.5,11.0,南東,14.9,南東,東南東,///,///,///
10,7.0,5.5,3.5,28.2,30.1,26.1,///,///,6.4,9.5,南東,11.3,南南東,南南東,///,///,///
11,30.0,9.0,6.0,27.3,29.7,25.5,///,///,5.0,8.9,南,11.8,南西,南南東,///,///,///
12,1.0,0.5,0.5,28.3,30.1,26.1,///,///,3.4,6.3,北北西,10.8,北北西,西,///,///,///
13,0.0,0.0,0.0,29.0,31.7,25.9,///,///,3.7,7.0,西,10.3,西,西,///,///,///
14,13.0,12.0,10.5,28.3,32.1,25.5,///,///,5.2,9.3,南西,14.4,西南西,西,///,///,///
15,0.0,0.0,0.0,29.1,32.1,27.2,///,///,3.7,5.5,南東,6.7,西,西,///,///,///
16,18.5,17.5,6.0,28.8,32.5,26.2,///,///,4.9,10.7,東,12.3,東,南南東,///,///,///
17,163.5,88.0,21.0,27.0,29.5,24.6,///,///,9.2,15.0,南南東,19.5,南,南東,///,///,///
18,1.5,1.5,1.0,29.0,31.3,26.3,///,///,10.3,12.2,南東,15.4,南南東,東南東,///,///,///
19,0.0,0.0,0.0,29.2,31.5,27.6,///,///,8.9,10.7,東南東,12.9,東南東,東南東,///,///,///
20,0.0,0.0,0.0,29.3,31.3,27.3,///,///,9.3,12.0,南東,15.4,南東,東南東,///,///,///
21,1.0,1.0,1.0,29.3,31.9,27.1,///,///,10.2,12.1,東,13.9,東,東,///,///,///
22,2.5,2.5,2.0,29.1,31.8,27.2,///,///,9.8,11.5,東,14.9,東,東,///,///,///
23,10.0,6.0,4.0,28.0,30.8,25.7,///,///,12.5,17.7,東南東,21.6,東南東,東,///,///,///
24,83.5,14.0,10.0,26.7,28.1,25.1,///,///,15.1,20.8,東南東,26.7,東南東,東南東,///,///,///
25,114.0,35.5,11.0,27.3,28.5,25.1,///,///,8.5,16.0,南東,20.1,南東,南南東,///,///,///
26,29.0,13.0,12.0,27.7,29.1,26.4,///,///,7.4,11.9,南,15.9,南南西,南,///,///,///
27,205.0,45.5,12.0,26.9,27.9,25.1,///,///,13.2,20.9,南東,25.2,南東,南東,///,///,///
28,184.0,33.5,10.0,26.8,27.8,25.0,///,///,12.7,19.6,南東,23.1,東南東,南東,///,///,///
29,4.0,3.0,1.5,27.8,30.0,26.0,///,///,7.2,9.7,南南東,11.8,南南東,南東,///,///,///
30,7.5,2.5,1.0,28.0,31.3,25.7,///,///,4.5,7.7,南南西,10.8,西南西,南西,///,///,///
31,2.0,1.0,0.5,27.8,29.9,26.6,///,///,4.9,8.9,南南東,11.3,南南東,南東,///,///,///
