要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),312.5 (2025/7/27),194.3 (1944/7/29),175.0 (2025/7/28),146.0 (2000/7/27),143.5 (1999/7/21),132.2 (1958/7/20),128.5 (1999/7/27),128.0 (2015/7/19),125.2 (1949/7/16),121.0 (2025/7/17),1942/7 2025/7
日最大10分間降水量 (mm),21.0 (1968/7/15),20.0 (2016/7/7),19.5 (2025/7/27),19.0 (2015/7/19),19.0 (1976/7/2),16.5 (2019/7/8),16.0 (2016/7/25),16.0 (2015/7/18),15.5 (1980/7/3),15.5 (1970/7/24),1942/7 2025/7
日最大1時間降水量 (mm),70.5 (1970/7/7),69.5 (1999/7/21),64.5 (2025/7/17),52.5 (1968/7/15),51.0 (2015/7/19),47.5 (1973/7/24),47.0 (2018/7/4),44.5 (2025/7/27),44.0 (1976/7/2),43.2 (1967/7/29),1942/7 2025/7
月最大24時間降水量 (mm),382.5 (2025/7/27),203.5 (1949/7/16),182.5 (2015/7/19),168.5 (1978/7/28),164.5 (1999/7/26),159.0 (1976/7/2),157.5 (1950/7/19),148.0 (2000/7/27),125.1 (1958/7/20),119.0 (1980/7/3),1946/7 2025/7
月降水量の多い方から (mm),939.0 (2025/7),648.0 (1999/7),481.0 (1976/7),446.5 (1961/7),377.3 (1950/7),368.5 (2000/7),288.0 (2015/7),281.0 (1944/7),260.5 (1978/7),235.0 (1949/7),1942/7 2025/7
月降水量の少ない方から (mm),2.5 (2013/7),7.0 (2005/7),9.0 (1986/7),9.5 (2004/7),9.6 (1957/7),11.5 (2009/7),13.5 (1995/7),14.5 (1996/7),18.0 (1959/7),23.0 (1971/7),1942/7 2025/7
日最高気温の高い方から (℃),35.3 (1991/7/12),35.1 (1945/7/23),34.9 (1991/7/9),34.8 (1991/7/11),34.7 (2024/7/13),34.7 (2024/7/12),34.7 (2024/7/10),34.7 (2024/7/9),34.7 (1991/7/22),34.7 (1991/7/10),1942/7 2025/7
日最高気温の低い方から (℃),25.3 (1966/7/4),25.7 (1949/7/16),25.8 (1982/7/2),25.8 (1976/7/7),26.1 (1950/7/26),26.2 (2015/7/19),26.2 (1958/7/24),26.3 (2015/7/25),26.4 (1976/7/8),26.4 (1976/7/2),1942/7 2025/7
日最低気温の高い方から (℃),29.2 (2024/7/13),29.1 (2024/7/10),29.0 (2024/7/11),28.9 (2024/7/23),28.9 (2014/7/7),28.9 (1998/7/20),28.9 (1988/7/22),28.8 (1988/7/21),28.7 (2024/7/15),28.7 (1998/7/19),1942/7 2025/7
日最低気温の低い方から (℃),19.4 (1970/7/7),19.9 (1974/7/26),20.1 (1982/7/1),20.6 (1974/7/27),20.7 (1974/7/17),20.7 (1973/7/8),20.8 (1974/7/25),20.9 (1978/7/19),20.9 (1973/7/10),21.1 (1976/7/14),1942/7 2025/7
月平均気温の高い方から (℃),30.1 (2024/7),29.7 (1991/7),29.5 (2016/7),29.2 (2006/7),29.2 (1971/7),29.1 (2023/7),29.1 (2017/7),29.1 (2009/7),29.1 (2001/7),29.1 (1988/7),1942/7 2025/7
月平均気温の低い方から (℃),26.2 (1976/7),26.7 (1943/7),26.9 (1949/7),27.0 (1950/7),27.1 (1951/7),27.1 (1944/7),27.2 (2000/7),27.2 (1975/7),27.2 (1973/7),27.3 (1958/7),1942/7 2025/7
日最小相対湿度 (%),48 (1998/7/4),49 (2013/7/19),49 (2008/7/11),49 (1978/7/10),51 (2013/7/20),51 (2013/7/6),51 (1965/7/30),52 (2008/7/10),52 (1974/7/26),53 (2022/7/24),1957/7 2025/7
日最大風速・風向 (m/s),41.0 東南東 (1961/7/29),32.3 北東 (1958/7/20),31.7 南南東 (2015/7/25),31.3 南東 (1944/7/29),28.6 東 (1976/7/2),26.4 南 (1950/7/18),26.0 南南東 (1976/7/17),25.2 東南東 (1949/7/15),23.7 東南東 (1943/7/16),22.0 南南東 (1949/7/16),1942/7 2025/7
日最大瞬間風速・風向 (m/s),58.0 東南東 (1961/7/29),56.6 東 (1976/7/2),46.7 北北東 (1958/7/20),44.8 東南東 (1976/7/17),43.7 南 (2015/7/25),36.0 南東 (1944/7/29),35.9 南南東 (1999/7/26),35.5 北北東 (1997/7/24),34.8 北東 (1978/7/27),34.3 南 (1950/7/18),1942/7 2025/7
月間日照時間の多い方から (時間),330.2 (2017/7),324.9 (1948/7),319.3 (2003/7),319.2 (1996/7),318.2 (1995/7),316.7 (2013/7),312.8 (1965/7),312.7 (2009/7),310.8 (1991/7),308.5 (1990/7),1943/7 2025/7
月間日照時間の少ない方から (時間),144.0 (2025/7),181.4 (1999/7),190.8 (2000/7),191.0 (1976/7),202.6 (1955/7),203.1 (1956/7),205.2 (1972/7),206.2 (1977/7),209.9 (1950/7),215.8 (2002/7),1943/7 2025/7
降雪の深さ日合計 (cm),-- (2019/7/31),-- (2019/7/30),-- (2019/7/29),-- (2019/7/28),-- (2019/7/27),-- (2019/7/26),-- (2019/7/25),-- (2019/7/24),-- (2019/7/23),-- (2019/7/22),1953/7 2019/7
降雪の深さ月合計 (cm),-- (2019/7),-- (2018/7),-- (2017/7),-- (2016/7),-- (2015/7),-- (2014/7),-- (2013/7),-- (2012/7),-- (2011/7),-- (2010/7),1953/7 2019/7
月最深積雪の大きい方から (cm),-- (2019/7),-- (2018/7),-- (2017/7),-- (2016/7),-- (2015/7),-- (2014/7),-- (2013/7),-- (2012/7),-- (2011/7),-- (2010/7),1942/7 2019/7
月最深積雪の小さい方から (cm),-- (2019/7),-- (2018/7),-- (2017/7),-- (2016/7),-- (2015/7),-- (2014/7),-- (2013/7),-- (2012/7),-- (2011/7),-- (2010/7),1942/7 2019/7
