日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,29.3,31.8,27.9,///,///,3.7,5.2,東北東,8.7,東北東,北東,///,///,///
2,0.0,0.0,0.0,28.9,31.8,27.3,///,///,4.1,5.5,東北東,9.3,東北東,東北東,///,///,///
3,0.0,0.0,0.0,28.8,32.0,26.7,///,///,3.5,5.3,北東,8.2,北東,北東,///,///,///
4,0.0,0.0,0.0,28.5,31.5,26.9,///,///,2.3,3.7,北東,5.7,東北東,東北東,///,///,///
5,0.0,0.0,0.0,28.6,32.2,26.5,///,///,1.9,3.3,東,5.1,東北東,東,///,///,///
6,4.5,4.5,4.0,28.5,31.6,26.7,///,///,1.6,3.2,南西,5.1,東,南東,///,///,///
7,1.5,1.5,0.5,28.1,31.0,26.1,///,///,1.4,5.6,北,7.7,北北西,南西,///,///,///
8,3.0,2.5,1.5,27.6,29.7,25.3,///,///,1.9,4.8,東,9.8,東,南西,///,///,///
9,1.0,1.0,0.5,27.3,29.3,24.8,///,///,2.5,7.9,南,12.3,南,南南東,///,///,///
10,1.5,1.0,0.5,27.8,29.6,26.1,///,///,3.3,7.4,南南西,10.3,南南西,南南東,///,///,///
11,35.0,10.0,6.5,27.0,30.3,24.8,///,///,3.3,7.3,南南西,11.3,南南西,南,///,///,///
12,0.5,1.0,0.5,28.3,30.6,26.5,///,///,3.0,4.9,北北西,7.2,北北西,南西,///,///,///
13,0.0,0.0,0.0,28.9,31.9,26.2,///,///,3.0,6.2,西北西,9.8,西北西,西,///,///,///
14,7.0,7.0,6.0,28.3,31.7,24.4,///,///,4.5,9.3,南西,13.9,南西,西南西,///,///,///
15,0.0,0.0,0.0,28.9,31.5,26.8,///,///,2.6,4.6,南,6.7,南,南南東,///,///,///
16,9.5,9.0 ),5.5 ),28.4,31.9,25.5,///,///,2.9,6.5,南,10.3,南南東,南,///,///,///
17,104.0,34.5,12.0,26.6,27.9,24.2,///,///,4.8,9.1,南,13.9,南南東,南東,///,///,///
18,7.5,7.5,6.0,28.6,31.2,24.9,///,///,4.4,8.1,南東,13.9,南東,南東,///,///,///
19,3.0,3.0,3.0,28.7,31.1,25.9,///,///,3.5,5.6,南東,8.7,南東,東南東,///,///,///
20,0.0,3.0,0.0,28.6,31.0,26.6,///,///,3.9,6.6,南東,10.3,南東,南東,///,///,///
21,5.5,5.0,4.5,28.7,30.9,25.8,///,///,3.7,5.2,東,10.3,東,東,///,///,///
22,1.0,0.5,0.5,28.4,31.2,26.4,///,///,3.4,5.8,東北東,10.3,東,東北東,///,///,///
23,7.5,3.5,3.5,27.6,30.5,25.6,///,///,4.6,6.9,東,13.4,南東,東,///,///,///
24,78.0,18.0,10.0,26.7,28.0,25.1,///,///,6.0,10.1,南東,17.5,南東,南東,///,///,///
25,63.0,24.5,8.0,27.3,28.2,25.6,///,///,5.7,8.6,南,13.9,南,南,///,///,///
26,22.5,13.5,11.0,27.5,28.9,26.4,///,///,5.2,9.1,南,13.4,南,南,///,///,///
27,230.0,43.5,22.0,26.6,27.7,25.1,///,///,7.1,13.2,南東,20.1,南南東,南東,///,///,///
28,171.0,28.5,10.0,26.6,27.6,25.0,///,///,6.8,12.0,南東,19.0,南東,南東,///,///,///
29,8.5,5.0,3.5,27.5,30.2,25.5,///,///,3.6,6.1,南,9.8,南南東,南東,///,///,///
30,15.5,9.5,4.0,28.0,31.4,25.3,///,///,3.9,6.7,西南西,10.3,南西,南西,///,///,///
31,3.5,1.0,1.0,27.2,29.3,26.3,///,///,3.0,6.5,南,9.3,南南西,南,///,///,///
