地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.6,-1.1,かなり低い,713.5,1324,かなり多い,25.2,27,かなり少ない
旧東,27.5,-1.5,／,606.0,2705,／,／,／,／
北大東,27.8,-1.5,／,642.5,4724,／,／,／,／
