地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,23.6,+0.5,高い,123.5,102,平年並,131.0,96,平年並
旧東,23.9,+0.4,／,97.0,83,／,／,／,／
北大東,24.2,+0.5,／,86.5,83,／,／,／,／
