地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,25.2,+1.1,高い,24.5,93,平年並,56.1,112,多い
旧東,25.2,+0.6,／,19.0,62,／,／,／,／
北大東,25.5,+0.7,／,27.0,89,／,／,／,／
