地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,21.4,-0.7,低い,15.0,31,平年並,45.6,105,平年並
旧東,22.2,-0.3,／,15.5,32,／,／,／,／
北大東,22.4,-0.3,／,11.5,27,／,／,／,／
