地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,24.3,+1.3,高い,84.0,183,多い,29.3,69,少ない
旧東,24.2,+0.9,／,62.5,166,／,／,／,／
北大東,24.5,+0.9,／,48.0,154,／,／,／,／
