月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,36.0,31.0,19.5,13.0,18.5,20.7,16.6,22.4,13.7,///,///,5.2,10.2,南東,14.9,北西,///,///,///,///
1,中旬,23.5,9.5,3.5,2.0,17.3,20.0,15.1,22.0,11.2,///,///,4.4,9.4,北,13.4,北北東,///,///,///,///
1,下旬,31.5,27.0,5.5,2.0,18.2,20.7,16.4,22.8,13.9,///,///,5.0,10.9,北北西,15.9,北北西,///,///,///,///
2,上旬,49.5,40.0,9.5,3.5,16.2,18.6,14.3,22.5,11.8,///,///,5.5,10.5,西北西,15.9,北西,///,///,///,///
2,中旬,7.0,4.0,2.0,1.5,18.1,20.8,16.2,23.6,14.6,///,///,4.7,10.2,南南西,14.4,北,///,///,///,///
2,下旬,11.0,9.5,5.0,2.0,16.5,19.4,14.1,23.6,11.3,///,///,4.1,9.7,北,14.4,北北西,///,///,///,///
3,上旬,2.0,2.0,1.5,1.0,20.3,23.2,18.6,26.1,15.9,///,///,3.9,10.9,北,14.4,北北東,///,///,///,///
3,中旬,8.0,6.5,3.0,1.0,19.3,22.5,17.4,26.2,14.2,///,///,4.3,9.6,北北西,14.4,北西,///,///,///,///
3,下旬,122.0,102.5,38.5,12.5,19.2,22.3,16.2,27.0,11.1,///,///,4.2,11.0,北北東,15.9,南南西,///,///,///,///
4,上旬,141.0,66.5,34.0,15.5,19.5,22.3,17.3,23.2,15.5,///,///,3.7,15.4,北,20.6,北,///,///,///,///
4,中旬,57.5,46.5,38.0,11.0,20.3,23.6,17.5,26.2,14.4,///,///,3.4,10.7,南南西,15.4,南南西,///,///,///,///
4,下旬,6.5,5.5,5.5,3.0,22.5,25.3,20.3,28.7,18.6,///,///,3.6,8.9,南南西,12.9,南南西,///,///,///,///
5,上旬,125.0,46.0,30.5,21.5,23.2,25.6,20.9,27.7,15.5,///,///,3.6,9.6,南南西,13.9,北西,///,///,///,///
5,中旬,145.0,70.5,34.0,14.5,24.7,27.4,22.6,30.7,19.5,///,///,3.5,11.9,北,15.4,北,///,///,///,///
5,下旬,191.5,75.0,48.5,21.0,24.9,27.5,22.6,30.8,20.2,///,///,4.4,9.0,北北東,14.9,南西,///,///,///,///
6,上旬,55.0,25.0,8.0,3.5,25.3,28.1,23.0,30.5,17.6,///,///,3.7,9.7,南西,14.4,南南西,///,///,///,///
6,中旬,0.0,0.0,0.0,0.0,28.3,31.2,26.6,32.3,25.9,///,///,2.8,7.1,南南西,9.8,南南西,///,///,///,///
6,下旬,8.5,8.0,5.0,2.5,28.8,32.1,26.3,33.6,24.8,///,///,1.8,5.6,北東,7.7,北東,///,///,///,///
7,上旬,11.5,4.5,4.5,4.0,28.3,31.1,26.4,32.2,24.8,///,///,2.6,7.9,南,12.3,南,///,///,///,///
7,中旬,166.5,104.0,34.5,12.0,28.2,30.9,25.6,31.9,24.2,///,///,3.6,9.3,南西,13.9,南東,///,///,///,///
7,下旬,606.0,230.0,43.5,22.0,27.5,29.4,25.6,31.4,25.0,///,///,4.8,13.2,南東,20.1,南南東,///,///,///,///
8,上旬,32.5,17.5,17.0,7.5,28.4,31.6,26.2,32.4,25.4,///,///,3.2,7.5,北北東,11.3,西南西,///,///,///,///
8,中旬,20.5,13.0,12.0,4.5,28.8,31.6,26.7,32.2,25.1,///,///,3.1,7.1,北東,9.8,北東,///,///,///,///
8,下旬,17.5,7.5,3.0,2.5,29.0,31.9,26.9,32.4,26.1,///,///,2.2,7.5,北東,12.3,北東,///,///,///,///
9,上旬,8.0,4.0,1.5,1.0,28.8,31.6,26.7,32.5,25.4,///,///,3.1,8.3,南南西,11.3,南西,///,///,///,///
9,中旬,50.0,41.5,31.5,14.0,29.0,32.1,27.1,32.8,24.9,///,///,2.1,6.0,南東,11.8,南東,///,///,///,///
9,下旬,1.5,1.0,1.0,1.0,28.9,31.9,26.7,32.3,25.0,///,///,2.3,6.8,北東,9.8,北東,///,///,///,///
10,上旬,93.5,91.5,51.5,16.0,28.9,32.1,26.4,32.7,22.9,///,///,4.1,17.9,南南西,25.7,南西,///,///,///,///
10,中旬,46.0,46.0,12.5,4.5,28.2,30.7,26.3,31.3,24.1,///,///,3.5,13.4,南西,21.6,南西,///,///,///,///
10,下旬,29.5,10.5,5.0,3.5,26.5,29.1,24.5,31.0,22.1,///,///,4.3,10.8,北東,14.9,北東,///,///,///,///
11,上旬,19.0,10.0,6.0,2.0,25.2,27.8,23.0,29.0,21.7,///,///,5.2,11.4,北東,17.5,北東,///,///,///,///
11,中旬,62.5,25.5,7.0,3.0,24.2,26.7,22.4,30.1,19.6,///,///,5.2,11.4,北,15.9,北,///,///,///,///
11,下旬,15.5,14.0,5.0,1.5,22.2,24.5,20.1,27.2,16.7,///,///,4.3,9.6,北,12.9,北北東,///,///,///,///
12,上旬,0.0,0.0,0.0,0.0,21.4,24.1,19.4,26.2,17.0,///,///,4.6,11.1,北,15.9,北北西,///,///,///,///
12,中旬,33.0 ),16.0 ),8.5,5.5,21.4 ),23.6,19.1,25.7,17.4,///,///,4.0,9.5,北東,13.9,北,///,///,///,///
12,下旬,23.0,12.0,5.5,2.5,20.3,22.8,18.2,26.3,13.9,///,///,4.3,10.4,北,14.9,北北西,///,///,///,///
