地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,28.2,+2.3,かなり高い,53.0,100,平年並,77.8,143,かなり多い
旧東,28.2,+1.9,／,46.0,79,／,／,／,／
北大東,28.6,+2.1,／,56.5,95,／,／,／,／
