地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,27.7,+1.8,かなり高い,170.5,94,平年並,196.6,110,多い
旧東,27.8,+1.5,／,169.0,93,／,／,／,／
北大東,28.2,+1.7,／,204.5,116,／,／,／,／
