地点名,平均気温(℃),平年差(℃),気温階級,降水量(mm),平年比(%),降水量階級,日照時間(h),平年比(%),日照時間階級
南大東,26.5,+1.6,かなり高い,41.0,56,平年並,46.8,76,少ない
旧東,26.5,+1.2,／,29.5,50,／,／,／,／
北大東,26.9,+1.3,／,69.0,114,／,／,／,／
